giftID,childID,gift,cost
79,128,Bitzee Interactive Digital Pet,26.15
80,21,Beast Lab Core Line Shark Playset,45
81,95,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
82,153,Fingerlings Monkey Pink - Harmony,11.25
83,59,Bitzee Interactive Digital Pet,26.15
84,25,DesignaFriend Connie Fashion Designer Doll,30
85,79,Chad Valley Wooden 2 in 1 Café,25
86,90,Fingerlings Monkey Pink - Harmony,11.25
87,19,DesignaFriend Connie Fashion Designer Doll,30
88,123,Fingerlings Monkey Pink - Harmony,11.25
89,70,Bitzee Interactive Digital Pet,26.15
90,35,Beast Lab Core Line Shark Playset,45
91,109,Lump of coal,0.5
92,115,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
93,124,Barbie Estate Dolls House and 3 Dolls,150
94,91,LEGO Harry Potter Dobby the House-Elf Figure,18.49
95,116,Fingerlings Monkey Pink - Harmony,11.25
96,22,Nerf Elite 2.0 Double Punch Blaster,14.99
97,192,Fingerlings Monkey Pink - Harmony,11.25
98,46,Bitzee Interactive Digital Pet,26.15
99,152,Squishmallows Drew the Mint Dragon,40.66
100,60,DesignaFriend Connie Fashion Designer Doll,30
101,104,DesignaFriend Connie Fashion Designer Doll,30
102,143,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
103,49,Lump of coal,0.5
104,18,DesignaFriend Connie Fashion Designer Doll,30
105,88,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
106,148,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
107,97,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
108,130,Lump of coal,0.5
109,183,LEGO Star Wars Ahsoka Clone Trooper,15.2
110,3,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
111,31,Chad Valley Trevor Talk Back Dino,7.5
112,80,LEGO Technic Lamborghini,46.99
113,159,Lump of coal,0.5
114,147,Bitzee Interactive Digital Pet,26.15
115,129,Fingerlings Monkey Pink - Harmony,11.25
116,1,MGA's Miniverse - Make it Mini Food: Dine,24.99
117,13,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
118,131,Lump of coal,0.5
119,24,Chad Valley Wooden 2 in 1 Café,25
120,84,LEGO Star Wars Ahsoka Clone Trooper,15.2
121,195,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
122,54,Barbie Estate Dolls House and 3 Dolls,150
123,66,DesignaFriend Connie Fashion Designer Doll,30
124,69,Lump of coal,0.5
125,98,Chad Valley Wooden Pizza,5.33
126,102,Squishmallows Drew the Mint Dragon,40.66
127,127,Furby Purple Interactive Toy Plush,44.99
128,75,Lump of Coal,0.5
129,2,Lump of coal,0.5
130,194,Lump of coal,0.5
131,157,DesignaFriend Connie Fashion Designer Doll,30
132,14,Barbie Estate Dolls House and 3 Dolls,150
133,78,Lump of Coal,0.5
134,29,Chad Valley Wooden Pizza,5.33
135,120,Furby Purple Interactive Toy Plush,44.99
136,175,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
137,162,Bitzee Interactive Digital Pet,26.15
138,187,Nerf Elite 2.0 Double Punch Blaster,14.99
139,182,Chad Valley Wooden 2 in 1 Café,25
140,186,Fingerlings Monkey Pink - Harmony,11.25
141,55,MGA's Miniverse - Make it Mini Food: Dine,24.99
142,51,MGA's Miniverse - Make it Mini Food: Dine,24.99
143,83,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
144,176,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
145,146,Lump of coal,0.5
146,74,Lump of Coal,0.5
147,61,Fingerlings Monkey Pink - Harmony,11.25
148,44,Chad Valley Trevor Talk Back Dino,7.5
149,184,Chad Valley Trevor Talk Back Dino,7.5
150,81,Beast Lab Core Line Shark Playset,45
151,100,LEGO Harry Potter Dobby the House-Elf Figure,18.49
152,85,Fingerlings Monkey Pink - Harmony,11.25
153,8,Lump of coal,0.5
154,140,Lump of coal,0.5
155,11,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
156,93,Beast Lab Core Line Shark Playset,45
157,164,Bitzee Interactive Digital Pet,26.15
158,185,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
159,155,LEGO Star Wars Ahsoka Clone Trooper,15.2
160,138,Chad Valley Wooden Pizza,5.33
161,163,Bitzee Interactive Digital Pet,26.15
162,168,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
163,28,Furby Purple Interactive Toy Plush,44.99
164,178,Furby Purple Interactive Toy Plush,44.99
165,40,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
166,62,Chad Valley Wooden 2 in 1 Café,25
167,26,Beast Lab Core Line Shark Playset,45
168,76,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
169,103,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
170,136,DesignaFriend Connie Fashion Designer Doll,30
171,139,MGA's Miniverse - Make it Mini Food: Dine,24.99
172,173,Fingerlings Monkey Pink - Harmony,11.25
173,177,MGA's Miniverse - Make it Mini Food: Dine,24.99
174,190,Squishmallows Drew the Mint Dragon,40.66
175,170,MGA's Miniverse - Make it Mini Food: Dine,24.99
176,12,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
177,81,Lump of Coal,0.5
178,56,LEGO Star Wars Ahsoka Clone Trooper,15.2
179,144,Chad Valley Trevor Talk Back Dino,7.5
180,4,LEGO Star Wars Ahsoka Clone Trooper,15.2
181,156,Lump of coal,0.5
182,56,LEGO Star Wars Ahsoka Clone Trooper,15.2
183,56,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
184,165,Furby Purple Interactive Toy Plush,44.99
185,72,Barbie Estate Dolls House and 3 Dolls,150
186,122,Squishmallows Drew the Mint Dragon,40.66
187,171,MGA's Miniverse - Make it Mini Food: Dine,24.99
188,135,Furby Purple Interactive Toy Plush,44.99
189,141,Fingerlings Monkey Pink - Harmony,11.25
190,145,Lump of Coal,0.5
191,50,Lump of Coal,0.5
192,112,Lump of Coal,0.5
193,96,Beast Lab Core Line Shark Playset,45
194,68,Bitzee Interactive Digital Pet,26.15
195,111,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
196,43,Chad Valley Wooden Pizza,5.33
197,30,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
198,188,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
199,58,DesignaFriend Connie Fashion Designer Doll,30
200,149,Furby Purple Interactive Toy Plush,44.99
201,127,LEGO Star Wars Ahsoka Clone Trooper,15.2
202,81,Chad Valley Wooden 2 in 1 Café,25
203,170,Chad Valley Wooden Pizza,5.33
204,173,Chad Valley Wooden Pizza,5.33
205,135,LEGO Technic Lamborghini,46.99
206,17,Fingerlings Monkey Pink - Harmony,11.25
207,88,Fingerlings Monkey Pink - Harmony,11.25
208,97,Beast Lab Core Line Shark Playset,45
209,92,Furby Purple Interactive Toy Plush,44.99
210,181,LEGO Star Wars Ahsoka Clone Trooper,15.2
211,110,Chad Valley Wooden Pizza,5.33
212,78,Bitzee Interactive Digital Pet,26.15
213,184,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
214,180,MGA's Miniverse - Make it Mini Food: Dine,24.99
215,134,DesignaFriend Connie Fashion Designer Doll,30
216,149,Lump of Coal,0.5
217,13,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
218,116,Lump of Coal,0.5
219,69,Lump of coal,0.5
220,11,MGA's Miniverse - Make it Mini Food: Dine,24.99
221,38,MGA's Miniverse - Make it Mini Food: Dine,24.99
222,45,DesignaFriend Connie Fashion Designer Doll,30
223,10,Lump of coal,0.5
224,182,Squishmallows Drew the Mint Dragon,40.66
225,2,Lump of coal,0.5
226,150,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
227,147,LEGO Technic Lamborghini,46.99
228,25,Chad Valley Wooden 2 in 1 Café,25
229,115,Chad Valley Trevor Talk Back Dino,7.5
230,114,LEGO Star Wars Ahsoka Clone Trooper,15.2
231,179,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
232,76,Chad Valley Trevor Talk Back Dino,7.5
233,131,Lump of coal,0.5
234,34,Lump of coal,0.5
235,196,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
236,126,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
237,87,Nerf Elite 2.0 Double Punch Blaster,14.99
238,187,LEGO Technic Lamborghini,46.99
239,161,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
240,53,Lump of coal,0.5
241,51,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
242,96,LEGO Harry Potter Dobby the House-Elf Figure,18.49
243,169,Beast Lab Core Line Shark Playset,45
244,112,Chad Valley Wooden Pizza,5.33
245,188,Nerf Elite 2.0 Double Punch Blaster,14.99
246,61,LEGO Star Wars Ahsoka Clone Trooper,15.2
247,66,Chad Valley Wooden 2 in 1 Café,25
248,101,MGA's Miniverse - Make it Mini Food: Dine,24.99
249,33,Furby Purple Interactive Toy Plush,44.99
250,109,Lump of coal,0.5
251,104,MGA's Miniverse - Make it Mini Food: Dine,24.99
252,152,Furby Purple Interactive Toy Plush,44.99
253,70,Beast Lab Core Line Shark Playset,45
254,49,Lump of coal,0.5
255,74,Fingerlings Monkey Pink - Harmony,11.25
256,167,Beast Lab Core Line Shark Playset,45
257,106,Lump of coal,0.5
258,79,Chad Valley Wooden 2 in 1 Café,25
259,19,Chad Valley Wooden 2 in 1 Café,25
260,80,DesignaFriend Connie Fashion Designer Doll,30
261,9,LEGO Technic Lamborghini,46.99
262,157,Beast Lab Core Line Shark Playset,45
263,27,Lump of coal,0.5
264,31,Beast Lab Core Line Shark Playset,45
265,129,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
266,43,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
267,165,LEGO Technic Lamborghini,46.99
268,72,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
269,77,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
270,39,LEGO Harry Potter Dobby the House-Elf Figure,18.49
271,52,DesignaFriend Connie Fashion Designer Doll,30
272,124,LEGO Technic Lamborghini,46.99
273,75,LEGO Technic Lamborghini,46.99
274,140,Lump of coal,0.5
275,30,Nerf Elite 2.0 Double Punch Blaster,14.99
276,137,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
277,16,Barbie Estate Dolls House and 3 Dolls,150
278,191,Lump of coal,0.5
279,103,DesignaFriend Connie Fashion Designer Doll,30
280,50,Chad Valley Wooden 2 in 1 Café,25
281,146,Lump of coal,0.5
282,7,Furby Purple Interactive Toy Plush,44.99
283,159,Lump of coal,0.5
284,24,Chad Valley Trevor Talk Back Dino,7.5
285,155,Chad Valley Trevor Talk Back Dino,7.5
286,102,Barbie Estate Dolls House and 3 Dolls,150
287,128,LEGO Technic Lamborghini,46.99
288,93,Nerf Elite 2.0 Double Punch Blaster,14.99
289,133,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
290,63,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
291,185,LEGO Star Wars Ahsoka Clone Trooper,15.2
292,148,Squishmallows Drew the Mint Dragon,40.66
293,28,Chad Valley Wooden 2 in 1 Café,25
294,189,Squishmallows Drew the Mint Dragon,40.66
295,95,Chad Valley Trevor Talk Back Dino,7.5
296,20,LEGO Star Wars Ahsoka Clone Trooper,15.2
297,91,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
298,130,Lump of coal,0.5
299,98,LEGO Technic Lamborghini,46.99
300,81,LEGO Star Wars Ahsoka Clone Trooper,15.2
301,107,Chad Valley Wooden Pizza,5.33
302,111,Furby Purple Interactive Toy Plush,44.99
303,163,Chad Valley Wooden 2 in 1 Café,25
304,5,LEGO Star Wars Ahsoka Clone Trooper,15.2
305,22,MGA's Miniverse - Make it Mini Food: Dine,24.99
306,15,Nerf Elite 2.0 Double Punch Blaster,14.99
307,199,Lump of coal,0.5
308,21,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
309,57,Lump of Coal,0.5
310,90,DesignaFriend Connie Fashion Designer Doll,30
311,59,Fingerlings Monkey Pink - Harmony,11.25
312,8,Lump of coal,0.5
313,37,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
314,71,LEGO Harry Potter Dobby the House-Elf Figure,18.49
315,99,Chad Valley Wooden 2 in 1 Café,25
316,29,Squishmallows Drew the Mint Dragon,40.66
317,84,LEGO Technic Lamborghini,46.99
318,18,Barbie Estate Dolls House and 3 Dolls,150
319,94,LEGO Harry Potter Dobby the House-Elf Figure,18.49
320,100,Bitzee Interactive Digital Pet,26.15
321,139,Chad Valley Wooden Pizza,5.33
322,200,Barbie Estate Dolls House and 3 Dolls,150
323,56,Chad Valley Wooden Pizza,5.33
324,164,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
325,56,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
326,141,Chad Valley Trevor Talk Back Dino,7.5
327,121,Nerf Elite 2.0 Double Punch Blaster,14.99
328,68,LEGO Technic Lamborghini,46.99
329,143,Beast Lab Core Line Shark Playset,45
330,82,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
331,178,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
332,6,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
333,162,Furby Purple Interactive Toy Plush,44.99
334,62,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
335,153,LEGO Star Wars Ahsoka Clone Trooper,15.2
336,183,Nerf Elite 2.0 Double Punch Blaster,14.99
337,168,Bitzee Interactive Digital Pet,26.15
338,176,DesignaFriend Connie Fashion Designer Doll,30
339,86,DesignaFriend Connie Fashion Designer Doll,30
340,32,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
341,197,Barbie Estate Dolls House and 3 Dolls,150
342,35,Hot Wheels Monster Trucks Ultimate Crush Yard Playset,29.99
343,46,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
344,44,Chad Valley Wooden Pizza,5.33
345,105,MGA's Miniverse - Make it Mini Food: Dine,24.99
346,67,Nerf Elite 2.0 Double Punch Blaster,14.99
347,4,Barbie Estate Dolls House and 3 Dolls,150
348,194,Lump of coal,0.5
349,117,LEGO Technic Lamborghini,46.99
350,123,LEGO Harry Potter Dobby the House-Elf Figure,18.49
351,81,Bitzee Interactive Digital Pet,26.15
352,12,Little Live Pets - My Puppy's Home Dalmatian Edition,42.4
353,144,Fingerlings Monkey Pink - Harmony,11.25
354,14,Bitzee Interactive Digital Pet,26.15
355,36,Fingerlings Monkey Pink - Harmony,11.25
356,58,Furby Purple Interactive Toy Plush,44.99
357,40,LEGO Technic Lamborghini,46.99
358,64,Beast Lab Core Line Shark Playset,45
359,151,Lump of Coal,0.5
360,193,LEGO Technic Lamborghini,46.99
361,42,Squishmallows Drew the Mint Dragon,40.66
362,172,Squishmallows Drew the Mint Dragon,40.66
363,171,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
364,118,Lump of coal,0.5
365,83,Nerf Elite 2.0 Double Punch Blaster,14.99
366,56,LEGO Harry Potter Dobby the House-Elf Figure,18.49
367,60,Chad Valley Wooden Pizza,5.33
368,154,Lump of Coal,0.5
369,1,MGA's Miniverse - Make it Mini Food: Dine,24.99
370,136,Chad Valley Trevor Talk Back Dino,7.5
371,138,DesignaFriend Connie Fashion Designer Doll,30
372,125,MGA's Miniverse - Make it Mini Food: Dine,24.99
373,190,Nerf Elite 2.0 Double Punch Blaster,14.99
374,85,Squishmallows Drew the Mint Dragon,40.66
375,186,Lump of Coal,0.5
376,55,Barbie Estate Dolls House and 3 Dolls,150
377,145,Chad Valley Wooden Pizza,5.33
378,48,Beast Lab Core Line Shark Playset,45
379,108,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
380,156,Lump of coal,0.5
381,160,LEGO Technic Lamborghini,46.99
382,192,Barbie Estate Dolls House and 3 Dolls,150
383,195,Bitzee Interactive Digital Pet,26.15
384,65,Squishmallows Drew the Mint Dragon,40.66
385,120,Fingerlings Monkey Pink - Harmony,11.25
386,174,Bitzee Interactive Digital Pet,26.15
387,122,DesignaFriend Connie Fashion Designer Doll,30
388,26,LEGO Technic Lamborghini,46.99
389,166,Chad Valley Wooden Pizza,5.33
390,23,Beast Lab Core Line Shark Playset,45
391,113,DesignaFriend Connie Fashion Designer Doll,30
392,175,Fingerlings Monkey Pink - Harmony,11.25
393,54,Teenage Mutant Ninja Turtles Pizza Delivery Van,29.99
394,142,Bitzee Interactive Digital Pet,26.15
395,198,Gabby's Dollhouse Cat Friendship Cruise Ship Playset,34.99
396,41,Lump of Coal,0.5
397,3,LEGO Star Wars Ahsoka Clone Trooper,15.2
398,132,Chad Valley Trevor Talk Back Dino,7.5
399,89,LEGO Star Wars Ahsoka Clone Trooper,15.2
400,177,DesignaFriend Connie Fashion Designer Doll,30
