pupilID,subjectID,grade
85,3.5,B
85,3.6,D
86,4.1,C
86,4.2,C
86,4.3,D
86,4.4,C
86,4.5,C
86,4.6,A
87,4.1,C
87,4.2,C
87,4.3,D
87,4.4,No Award
87,4.5,C
87,4.6,C
88,4.1,C
88,4.2,C
88,4.3,C
88,4.4,D
88,4.5,C
88,4.6,C
89,2.1,C
89,2.2,B
89,2.3,B
89,2.4,B
89,2.5,C
89,2.6,C
91,4.1,C
91,4.2,No Award
91,4.3,C
91,4.4,C
91,4.5,C
91,4.6,B
92,3.1,C
92,3.2,C
92,3.3,D
92,3.4,C
92,3.5,C
92,3.6,B
93,3.1,C
93,3.2,D
93,3.3,No Award
93,3.4,B
93,3.5,D
93,3.6,B
94,2.1,C
94,2.2,A
94,2.3,No Award
94,2.4,A
94,2.5,D
94,2.6,B
95,2.1,A
95,2.2,D
95,2.3,D
95,2.4,No Award
95,2.5,C
95,2.6,C
96,4.1,D
96,4.2,C
96,4.3,C
96,4.4,C
96,4.5,B
96,4.6,C
100,4.1,B
100,4.2,B
100,4.3,D
100,4.4,C
100,4.5,C
100,4.6,C
101,3.1,C
101,3.2,B
101,3.3,C
101,3.4,B
101,3.5,C
101,3.6,C
102,4.1,B
102,4.2,C
102,4.3,No Award
102,4.4,C
102,4.5,C
102,4.6,C
103,4.1,B
103,4.2,D
103,4.3,C
103,4.4,C
103,4.5,C
103,4.6,C
105,3.1,C
105,3.2,C
105,3.3,D
105,3.4,C
105,3.5,B
105,3.6,C
106,2.1,C
106,2.2,B
106,2.3,C
106,2.4,No Award
106,2.5,C
106,2.6,B
107,4.1,C
107,4.2,C
107,4.3,C
107,4.4,B
107,4.5,C
107,4.6,D
109,2.1,C
109,2.2,C
109,2.3,B
109,2.4,B
109,2.5,C
109,2.6,C
110,4.1,No Award
110,4.2,B
110,4.3,C
110,4.4,D
110,4.5,C
110,4.6,C
111,3.1,C
111,3.2,C
111,3.3,C
111,3.4,C
111,3.5,C
111,3.6,C
112,2.1,B
112,2.2,B
112,2.3,C
112,2.4,C
112,2.5,C
112,2.6,C
113,3.1,C
113,3.2,C
113,3.3,C
113,3.4,C
113,3.5,C
113,3.6,C
114,3.1,C
114,3.2,C
114,3.3,B
114,3.4,No Award
114,3.5,B
114,3.6,No Award
115,4.1,C
115,4.2,C
115,4.3,C
115,4.4,C
115,4.5,B
115,4.6,No Award
116,4.1,C
116,4.2,C
116,4.3,C
116,4.4,C
116,4.5,B
116,4.6,C
117,3.1,C
117,3.2,C
117,3.3,C
117,3.4,B
117,3.5,C
117,3.6,C
118,3.1,D
118,3.2,B
118,3.3,C
118,3.4,C
118,3.5,C
118,3.6,C
119,3.1,C
119,3.2,B
119,3.3,C
119,3.4,C
119,3.5,B
119,3.6,B
120,4.1,C
120,4.2,D
120,4.3,B
120,4.4,C
120,4.5,C
120,4.6,B
121,3.1,D
121,3.2,B
121,3.3,B
121,3.4,D
121,3.5,C
121,3.6,C
122,3.1,No Award
122,3.2,No Award
122,3.3,No Award
122,3.4,No Award
122,3.5,No Award
122,3.6,No Award
123,2.1,B
123,2.2,C
123,2.3,C
123,2.4,B
123,2.5,D
123,2.6,A
124,4.1,D
124,4.2,A
124,4.3,C
124,4.4,C
124,4.5,A
124,4.6,C
125,3.1,D
125,3.2,D
125,3.3,C
125,3.4,B
125,3.5,C
125,3.6,C
126,2.1,C
126,2.2,C
126,2.3,C
126,2.4,C
126,2.5,No Award
126,2.6,C
127,4.1,C
127,4.2,D
127,4.3,B
127,4.4,C
127,4.5,C
127,4.6,B
128,4.1,C
128,4.2,C
128,4.3,C
128,4.4,D
128,4.5,C
128,4.6,C
129,3.1,B
129,3.2,C
129,3.3,A
129,3.4,C
129,3.5,D
129,3.6,C
130,4.1,C
130,4.2,C
130,4.3,C
130,4.4,C
130,4.5,D
130,4.6,D
131,2.1,B
131,2.2,C
131,2.3,C
131,2.4,C
131,2.5,B
131,2.6,D
132,2.1,C
132,2.2,C
132,2.3,C
132,2.4,C
132,2.5,C
132,2.6,C
133,4.1,D
133,4.2,C
133,4.3,B
133,4.4,C
133,4.5,C
133,4.6,B
134,3.1,C
134,3.2,B
134,3.3,A
134,3.4,B
134,3.5,C
134,3.6,B
135,4.1,C
135,4.2,C
135,4.3,B
135,4.4,C
135,4.5,C
135,4.6,B
136,2.1,C
136,2.2,A
136,2.3,B
136,2.4,B
136,2.5,C
136,2.6,C
137,4.1,C
137,4.2,C
137,4.3,C
137,4.4,B
137,4.5,D
137,4.6,B
138,4.1,C
138,4.2,D
138,4.3,C
138,4.4,D
138,4.5,C
138,4.6,C
139,2.1,C
139,2.2,D
139,2.3,D
139,2.4,D
139,2.5,A
139,2.6,C
140,3.1,D
140,3.2,C
140,3.3,C
140,3.4,C
140,3.5,C
140,3.6,No Award
141,3.1,C
141,3.2,C
141,3.3,D
141,3.4,C
141,3.5,D
141,3.6,C
143,3.1,C
143,3.2,C
143,3.3,A
143,3.4,C
143,3.5,B
143,3.6,C
144,4.1,C
144,4.2,C
144,4.3,C
144,4.4,C
144,4.5,D
144,4.6,B
145,3.1,C
145,3.2,C
145,3.3,C
145,3.4,C
145,3.5,B
145,3.6,C
146,2.1,C
146,2.2,D
146,2.3,C
146,2.4,C
146,2.5,C
146,2.6,B
148,3.1,C
148,3.2,C
148,3.3,C
148,3.4,D
148,3.5,C
148,3.6,C
150,4.1,C
150,4.2,B
150,4.3,C
150,4.4,B
150,4.5,C
150,4.6,C
152,4.1,C
152,4.2,D
152,4.3,C
152,4.4,A
152,4.5,D
152,4.6,B
153,4.1,C
153,4.2,C
153,4.3,D
153,4.4,D
153,4.5,B
153,4.6,B
156,4.1,B
156,4.2,B
156,4.3,C
156,4.4,C
156,4.5,B
156,4.6,C
157,2.1,B
157,2.2,C
157,2.3,B
157,2.4,C
157,2.5,No Award
157,2.6,C
158,3.1,No Award
158,3.2,C
158,3.3,C
158,3.4,C
158,3.5,C
158,3.6,D
162,4.1,No Award
162,4.2,D
162,4.3,B
162,4.4,C
162,4.5,C
162,4.6,C
163,4.1,C
163,4.2,A
163,4.3,D
163,4.4,C
163,4.5,C
163,4.6,C
164,3.1,C
164,3.2,A
164,3.3,C
164,3.4,C
164,3.5,C
164,3.6,B
165,4.1,C
165,4.2,C
165,4.3,D
165,4.4,C
165,4.5,C
165,4.6,C
166,2.1,D
166,2.2,C
166,2.3,C
166,2.4,C
166,2.5,D
166,2.6,B
170,3.1,C
170,3.2,B
170,3.3,C
170,3.4,C
170,3.5,D
170,3.6,D
171,4.1,No Award
171,4.2,C
171,4.3,B
171,4.4,C
171,4.5,C
171,4.6,C
172,4.1,C
172,4.2,C
172,4.3,C
172,4.4,C
172,4.5,C
172,4.6,B
174,4.1,C
174,4.2,C
174,4.3,C
174,4.4,C
174,4.5,C
174,4.6,B
175,3.1,C
175,3.2,C
175,3.3,C
175,3.4,C
175,3.5,D
175,3.6,C
177,3.1,C
177,3.2,C
177,3.3,C
177,3.4,C
177,3.5,C
177,3.6,B
178,4.1,C
178,4.2,C
178,4.3,B
178,4.4,B
178,4.5,B
178,4.6,C
179,4.1,B
179,4.2,C
179,4.3,B
179,4.4,C
179,4.5,C
179,4.6,C
182,4.1,C
182,4.2,C
182,4.3,C
182,4.4,A
182,4.5,C
182,4.6,D
185,4.1,A
185,4.2,B
185,4.3,C
185,4.4,C
185,4.5,C
185,4.6,B
186,3.1,C
186,3.2,B
186,3.3,C
186,3.4,C
186,3.5,C
186,3.6,B
187,4.1,D
187,4.2,C
187,4.3,C
187,4.4,B
187,4.5,C
187,4.6,A
188,4.1,B
188,4.2,B
188,4.3,C
188,4.4,C
188,4.5,C
188,4.6,No Award
189,3.1,B
189,3.2,B
189,3.3,C
189,3.4,C
189,3.5,B
189,3.6,C
192,4.1,B
192,4.2,B
192,4.3,B
192,4.4,A
192,4.5,C
192,4.6,B
193,3.1,C
193,3.2,No Award
193,3.3,C
193,3.4,C
193,3.5,C
193,3.6,C
196,4.1,B
196,4.2,B
196,4.3,C
196,4.4,C
196,4.5,No Award
196,4.6,D
197,4.1,B
197,4.2,B
197,4.3,B
197,4.4,C
197,4.5,C
197,4.6,B
198,4.1,C
198,4.2,B
198,4.3,D
198,4.4,C
198,4.5,B
198,4.6,C
199,4.1,C
199,4.2,C
199,4.3,C
199,4.4,D
199,4.5,D
199,4.6,D
201,4.1,C
201,4.2,B
201,4.3,C
201,4.4,C
201,4.5,B
201,4.6,C
204,2.1,C
204,2.2,C
204,2.3,C
204,2.4,B
204,2.5,C
204,2.6,D
205,4.1,C
205,4.2,A
205,4.3,C
205,4.4,C
205,4.5,C
205,4.6,D
206,3.1,No Award
206,3.2,No Award
206,3.3,No Award
206,3.4,No Award
206,3.5,No Award
206,3.6,No Award
208,4.1,No Award
208,4.2,C
208,4.3,C
208,4.4,A
208,4.5,No Award
208,4.6,B
210,4.1,C
210,4.2,A
210,4.3,B
210,4.4,C
210,4.5,No Award
210,4.6,B
211,4.1,B
211,4.2,C
211,4.3,C
211,4.4,D
211,4.5,C
211,4.6,C
212,3.1,No Award
212,3.2,No Award
212,3.3,No Award
212,3.4,No Award
212,3.5,No Award
212,3.6,No Award
214,4.1,C
214,4.2,C
214,4.3,C
214,4.4,D
214,4.5,C
214,4.6,B
215,4.1,C
215,4.2,C
215,4.3,C
215,4.4,C
215,4.5,C
215,4.6,D
216,4.1,A
216,4.2,C
216,4.3,C
216,4.4,C
216,4.5,C
216,4.6,C
217,4.1,No Award
217,4.2,C
217,4.3,D
217,4.4,A
217,4.5,C
217,4.6,C
218,4.1,C
218,4.2,D
218,4.3,C
218,4.4,C
218,4.5,B
218,4.6,C
219,4.1,C
219,4.2,A
219,4.3,C
219,4.4,C
219,4.5,No Award
219,4.6,B
221,4.1,A
221,4.2,C
221,4.3,B
221,4.4,C
221,4.5,C
221,4.6,B
222,2.1,B
222,2.2,C
222,2.3,A
222,2.4,C
222,2.5,D
222,2.6,C
224,3.1,C
224,3.2,C
224,3.3,B
224,3.4,B
224,3.5,D
224,3.6,C
226,3.1,C
226,3.2,C
226,3.3,No Award
226,3.4,B
226,3.5,C
226,3.6,C
227,2.1,C
227,2.2,C
227,2.3,C
227,2.4,C
227,2.5,C
227,2.6,C
228,4.1,C
228,4.2,C
228,4.3,C
228,4.4,B
228,4.5,B
228,4.6,B
229,4.1,C
229,4.2,D
229,4.3,C
229,4.4,C
229,4.5,C
229,4.6,C
230,2.1,C
230,2.2,D
230,2.3,C
230,2.4,C
230,2.5,C
230,2.6,C
231,3.1,C
231,3.2,B
231,3.3,B
231,3.4,C
231,3.5,C
231,3.6,C
232,2.1,A
232,2.2,C
232,2.3,C
232,2.4,No Award
232,2.5,B
232,2.6,D
233,4.1,C
233,4.2,C
233,4.3,C
233,4.4,D
233,4.5,A
233,4.6,C
234,4.1,C
234,4.2,C
234,4.3,C
234,4.4,D
234,4.5,D
234,4.6,C
235,3.1,C
235,3.2,C
235,3.3,B
235,3.4,C
235,3.5,C
235,3.6,C
237,4.1,C
237,4.2,A
237,4.3,C
237,4.4,C
237,4.5,C
237,4.6,C
238,4.1,C
238,4.2,C
238,4.3,B
238,4.4,D
238,4.5,B
238,4.6,C
239,4.1,B
239,4.2,C
239,4.3,C
239,4.4,C
239,4.5,B
239,4.6,C
242,2.1,C
242,2.2,C
242,2.3,C
242,2.4,D
242,2.5,D
242,2.6,C
244,3.1,C
244,3.2,C
244,3.3,C
244,3.4,B
244,3.5,D
244,3.6,D
245,4.1,B
245,4.2,C
245,4.3,B
245,4.4,C
245,4.5,C
245,4.6,A
247,4.1,B
247,4.2,C
247,4.3,C
247,4.4,B
247,4.5,B
247,4.6,No Award
248,3.1,B
248,3.2,D
248,3.3,B
248,3.4,C
248,3.5,B
248,3.6,C
251,3.1,B
251,3.2,B
251,3.3,A
251,3.4,B
251,3.5,No Award
251,3.6,No Award
252,4.1,C
252,4.2,C
252,4.3,C
252,4.4,C
252,4.5,C
252,4.6,B
253,4.1,C
253,4.2,C
253,4.3,D
253,4.4,B
253,4.5,C
253,4.6,B
254,4.1,C
254,4.2,C
254,4.3,B
254,4.4,C
254,4.5,C
254,4.6,D
255,4.1,C
255,4.2,C
255,4.3,B
255,4.4,C
255,4.5,No Award
255,4.6,D
257,2.1,B
257,2.2,C
257,2.3,B
257,2.4,C
257,2.5,B
257,2.6,C
258,4.1,B
258,4.2,B
258,4.3,B
258,4.4,C
258,4.5,C
258,4.6,C
259,4.1,C
259,4.2,D
259,4.3,C
259,4.4,A
259,4.5,C
259,4.6,C
260,4.1,B
260,4.2,B
260,4.3,C
260,4.4,C
260,4.5,C
260,4.6,C
261,3.1,B
261,3.2,C
261,3.3,C
261,3.4,B
261,3.5,C
261,3.6,No Award
263,3.1,B
263,3.2,C
263,3.3,A
263,3.4,B
263,3.5,A
263,3.6,A
265,4.1,D
265,4.2,C
265,4.3,C
265,4.4,B
265,4.5,C
265,4.6,C
267,4.1,A
267,4.2,D
267,4.3,C
267,4.4,C
267,4.5,B
267,4.6,B
268,4.1,C
268,4.2,No Award
268,4.3,C
268,4.4,C
268,4.5,C
268,4.6,C
269,4.1,B
269,4.2,B
269,4.3,A
269,4.4,C
269,4.5,C
269,4.6,C
270,3.1,B
270,3.2,C
270,3.3,B
270,3.4,B
270,3.5,A
270,3.6,C
271,4.1,C
271,4.2,B
271,4.3,No Award
271,4.4,C
271,4.5,C
271,4.6,C
272,4.1,C
272,4.2,D
272,4.3,B
272,4.4,C
272,4.5,C
272,4.6,C
273,3.1,B
273,3.2,A
273,3.3,B
273,3.4,C
273,3.5,C
273,3.6,C
275,3.1,C
275,3.2,C
275,3.3,C
275,3.4,B
275,3.5,C
275,3.6,A
276,2.1,No Award
276,2.2,D
276,2.3,C
276,2.4,C
276,2.5,C
276,2.6,B
277,4.1,C
277,4.2,A
277,4.3,C
277,4.4,C
277,4.5,C
277,4.6,C
279,4.1,C
279,4.2,B
279,4.3,C
279,4.4,No Award
279,4.5,B
279,4.6,B
281,3.1,B
281,3.2,C
281,3.3,C
281,3.4,B
281,3.5,C
281,3.6,B
284,4.1,No Award
284,4.2,No Award
284,4.3,No Award
284,4.4,No Award
284,4.5,No Award
284,4.6,No Award
285,4.1,C
285,4.2,D
285,4.3,C
285,4.4,C
285,4.5,D
285,4.6,C
287,3.1,A
287,3.2,C
287,3.3,D
287,3.4,C
287,3.5,C
287,3.6,C
288,4.1,No Award
288,4.2,No Award
288,4.3,No Award
288,4.4,No Award
288,4.5,No Award
288,4.6,No Award
289,4.1,C
289,4.2,A
289,4.3,C
289,4.4,C
289,4.5,No Award
289,4.6,No Award
290,4.1,C
290,4.2,D
290,4.3,C
290,4.4,C
290,4.5,C
290,4.6,C
292,2.1,C
292,2.2,C
292,2.3,No Award
292,2.4,C
292,2.5,C
292,2.6,A
293,4.1,B
293,4.2,C
293,4.3,C
293,4.4,C
293,4.5,B
293,4.6,C
295,4.1,C
295,4.2,B
295,4.3,B
295,4.4,C
295,4.5,C
295,4.6,B
296,4.1,C
296,4.2,B
296,4.3,No Award
296,4.4,C
296,4.5,C
296,4.6,B
297,3.1,C
297,3.2,C
297,3.3,C
297,3.4,C
297,3.5,C
297,3.6,B
298,4.1,No Award
298,4.2,C
298,4.3,C
298,4.4,C
298,4.5,D
298,4.6,C
299,2.1,B
299,2.2,A
299,2.3,D
299,2.4,No Award
299,2.5,C
299,2.6,C
300,4.1,B
300,4.2,D
300,4.3,C
300,4.4,C
300,4.5,C
300,4.6,A
