title,companyName,genre,ageGuidance,price,dateReleased,copiesSoldThisMonth
Premiere Football 2000,Victory,Simulation,18,14.99,1996-05-19,10466
Premiere Football 2001,Victory,Simulation,18,9.99,2010-10-16,8479
Premiere Football 2002,Victory,Simulation,3,5.99,2017-02-05,12837
Premiere Football 2003,Victory,Simulation,12,34.99,2011-11-17,5388
Premiere Football 2004,Victory,Simulation,3,5.99,1999-12-04,8788
Race Track,Elite,Simulation,12,9.99,2007-12-04,12567
Reversi,Victory,Strategy,18,29.99,2015-07-05,18390
RoboWars,Station Games,Fighting,18,29.99,2003-01-25,10692
Run Silent Run Deep,TB Games,Simulation,12,14.99,1997-07-21,18390
Scrabble,Eaglehead Software,Strategy,12,5.99,2011-01-26,16954
Sentinel,Victory,Action,7,19.99,2015-09-09,19226
Sentipede,Station Games,Action,16,29.99,2002-09-01,14542
Snowboard Extreme,StudioArts,Simulation,16,29.99,1999-03-13,16140
Soft & Cuddly,StudioArts,Action,16,19.99,2006-01-06,15978
Space Adventure,Victory,Adventure,7,29.99,2002-05-04,15010
Splinter Cell,Station Games,Action,16,34.99,1999-06-29,2746
Star Attack,Station Games,Action,12,5.99,2003-01-09,3225
Stratagem,TB Games,Strategy,12,19.99,2014-11-03,17102
Strategic Conquest,TB Games,Strategy,16,5.99,2008-12-22,12516
Strike Fleet,Victory,Adventure,7,19.99,1998-05-14,15978
The Eden Project,Station Games,Strategy,16,5.99,2000-12-19,22852
The Great Escape,Victory,Adventure,7,19.99,2014-08-09,14193
Till the death,TB Games,Fighting,18,5.99,1997-08-24,13992
Wargames,Station Games,Fighting,12,5.99,2006-08-27,4366
Winter Games,Elite,Sports,16,9.99,2006-01-10,18502
World Baseball,Victory,Sports,12,14.99,1997-10-16,14606
World Basketball,Victory,Sports,3,9.99,2001-02-24,13893
World Cricket,Station Games,Sports,3,14.99,2015-05-24,1176
World Football,Eaglehead Software,Sports,3,34.99,1999-11-22,14529
World Hockey,StudioArts,Sports,16,19.99,2009-01-18,8922
World Tennis,TB Games,Sports,12,19.99,2010-05-11,18196
World War II - Tank Battle,StudioArts,Fighting,7,14.99,2002-07-05,12792
Wrestlemania,Victory,Fighting,12,5.99,2005-08-04,2324
Xenon Prime,StudioArts,Adventure,18,9.99,1996-05-16,3406
Zoo,Eaglehead Software,Simulation,16,9.99,1996-08-15,21198
