131,KO06 EFM,2017-01-09,100.99
132,OW08 LCR,2013-08-27,512.99
133,FY63 GCF,2020-07-23,442.99
134,LO05 PAF,2017-03-07,50.99
135,BH63 GEB,2020-10-29,428.99
136,BB57 VSV,2013-06-23,110.99
137,FB07 OOE,2012-09-07,222.99
138,KY66 MLD,2004-10-24,305.99
139,WS02 DLH,2007-07-16,97.99
140,RO52 OSK,2003-01-10,332.99
141,PN08 KCN,2020-04-16,98.99
142,VP67 NVP,2004-12-04,239.99
143,NP67 OHA,2019-02-04,65.99
144,CM54 PEP,2009-05-16,227.99
145,YF61 LSK,2003-10-05,455.99
146,KW67 BMM,2002-10-09,326.99
147,LO05 PAF,2013-10-13,216.99
148,LN12 EWA,2009-10-01,159.99
149,FH54 MDW,2012-01-08,184.99
150,YS70 CLS,2012-03-19,225.99
151,DA52 WYV,2008-12-27,328.99
152,KC63 SVV,2016-03-08,131.99
153,LW18 YHA,2008-04-27,515.99
154,CM54 PEP,2006-05-08,72.99
155,CO05 WRW,2000-01-11,424.99
156,PF18 MAP,2015-07-18,209.99
157,PN66 DVE,2016-05-05,506.99
158,VD16 SVW,2008-09-21,390.99
159,WO52 PAK,2015-08-07,383.99
160,NA57 MKR,2003-08-26,279.99
161,SP70 ARR,2005-08-30,335.99
162,CH59 FFR,2000-04-10,496.99
163,FL55 RHP,2014-04-12,499.99
164,GB68 NPY,2010-02-02,59.99
165,AA02 MLM,2012-03-07,252.99
166,BM59 EBA,2006-03-23,367.99
167,YC67 CLD,2016-12-21,360.99
168,VS16 BLE,2009-10-30,244.99
169,CO05 WRW,2011-01-20,45.99
170,DE63 YOF,2010-06-09,241.99
171,GM13 OCE,2015-02-09,172.99
172,CH17 BGB,2011-06-11,468.99
173,HV09 FAR,2009-05-12,204.99
174,WG13 MBA,2009-04-13,160.99
175,HV54 WFC,2004-10-17,479.99
176,AM64 NFY,2001-03-07,398.99
177,CH59 FFR,2011-06-28,507.99
178,GM13 OCE,2008-10-27,334.99
179,BB57 VSV,2020-06-20,453.99
180,WP66 RKE,2012-07-05,63.99
181,CH59 FFR,2020-10-16,297.99
182,VR03 WNP,2015-05-05,426.99
183,FW69 GNP,2016-07-04,337.99
184,YR03 EHW,2009-11-28,147.99
185,FW03 SGG,2019-01-29,168.99
186,GF58 WGY,2009-02-26,484.99
187,HV54 WFC,2014-02-27,109.99
188,WS02 DLH,2003-07-01,479.99
189,MP17 RVP,2001-04-30,79.99
190,KM18 AMY,2012-12-08,283.99
191,DM53 HLD,2017-02-16,455.99
192,PB57 NLG,2003-02-22,440.99
193,MR18 PFD,2005-10-08,437.99
194,BM59 EBA,2003-07-24,449.99
195,CB54 OBP,2019-04-29,398.99
196,CK58 MYS,2002-08-07,452.99
197,YF61 LSK,2001-06-29,487.99
198,HC61 GCD,2016-05-17,360.99
199,LS06 KVF,2005-10-11,383.99
200,MN03 DKB,2013-09-18,321.99
201,YR03 EHW,2013-07-20,139.99
202,VD16 SVW,2017-08-05,201.99
203,BM59 EBA,2006-11-11,110.99
204,AE03 PDV,2008-07-23,455.99
205,YR03 EHW,2002-01-07,396.99
206,KW66 VOP,2014-01-19,374.99
207,CO68 CHG,2001-12-02,251.99
208,HV61 YPL,2018-06-09,493.99
209,RV10 FOL,2015-02-22,349.99
210,RA54 MPE,2015-08-26,345.99
211,CF68 PMG,2012-09-28,491.99
212,RA54 MPE,2020-05-12,282.99
213,EP02 NYO,2007-12-01,371.99
214,DH69 CNV,2019-08-30,151.99
215,NN62 EHY,2009-07-07,307.99
216,CK58 MYS,2001-08-06,163.99
217,EO19 SEH,2002-05-02,384.99
218,SO62 GRW,2006-05-28,417.99
219,AG70 OOC,2003-09-29,260.99
220,SO10 GAG,2013-06-03,184.99
221,KR59 KYR,2020-06-20,415.99
222,BA02 LOS,2019-12-03,249.99
223,NM57 YHK,2004-12-22,281.99
224,KC63 SVV,2016-11-07,112.99
225,RV10 FOL,2020-08-26,203.99
226,FH54 MDW,2013-03-24,122.99
227,GO60 YLY,2019-10-21,512.99
228,DO60 YDG,2012-12-14,172.99
229,CL57 SDM,2007-03-26,490.99
230,LO05 PAF,2000-04-03,334.99
231,WS70 KKF,2016-11-28,209.99
232,KM18 AMY,2003-12-05,222.99
233,LC67 VED,2004-06-08,63.99
234,RY12 OLW,2015-04-30,497.99
235,KY06 DKA,2006-08-19,212.99
236,RK04 WDP,2018-11-16,99.99
237,FA68 MCF,2007-04-11,361.99
238,PF14 GEY,2005-07-18,319.99
239,CL57 SDM,2006-11-30,153.99
240,BF18 OCD,2011-01-29,276.99
241,FY63 GCF,2002-07-13,189.99
242,CO11 KSV,2007-08-10,305.99
243,DW19 FYN,2002-10-07,163.99
244,AM64 NFY,2000-01-22,100.99
245,HB04 EEV,2009-02-27,253.99
246,SS59 LFF,2009-03-22,262.99
247,SE65 KOL,2014-02-20,117.99
248,RR66 CRB,2017-05-23,288.99
249,VD16 SVW,2014-03-04,306.99
250,BY63 BMA,2016-07-18,95.99
251,ML63 KNL,2020-06-23,506.99
252,SN20 EPE,2013-07-24,230.99
253,WS70 KKF,2001-02-22,317.99
254,KY66 MLD,2019-10-16,404.99
255,CO05 WRW,2001-04-25,267.99
256,KE55 PNC,2011-07-04,287.99
257,HV54 WFC,2009-09-10,290.99
