surname,forename,country,number,category,gender,half,finish
Hunter,Sarah,GBR,533,18-39,F,01:27:49,02:53:36
Baker,Chelsea,GBR,534,18-39,F,01:26:42,02:57:11
Newton,Natasha,GBR,536,18-39,F,01:32:27,03:05:42
Woolaston,Abigail,GBR,544,18-39,F,01:23:58,02:48:09
Balloch,Louise,GBR,549,18-39,F,01:28:13,03:06:04
Mcelligott,Vicky,GBR,554,18-39,F,01:29:33,03:07:28
Lacey,Alicia,GBR,557,18-39,F,01:30:42,03:06:08
Anderson,Megan,GBR,558,18-39,F,01:29:17,03:03:38
Somani,Hannah,GBR,560,18-39,F,01:32:10,03:03:32
Cowell-jones,Zoe,GBR,562,40-44,F,01:26:05,02:56:22
Pullen,Hannah,GBR,567,18-39,F,01:24:44,02:59:47
Howells,Sioned,GBR,568,18-39,F,01:21:33,02:50:57
Nic fhogartaigh,Caoimhe,GBR,569,40-44,F,01:23:56,02:48:25
Pelster,Bernadette,GBR,570,40-44,F,01:30:19,03:08:07
Zhuang,Shijie (suzi),GBR,571,18-39,F,01:33:05,03:07:37
Wiley,Georgina,GBR,573,18-39,F,01:25:34,02:57:23
O�regan,Johanna,GBR,574,18-39,F,01:21:52,02:46:50
Foreman,Lucy,GBR,588,18-39,F,01:31:20,03:06:22
Todd,Fiona,GBR,590,45-49,F,01:29:29,03:01:41
White,Jessica,GBR,593,40-44,F,01:32:57,03:07:19
Stowell,Rachel,GBR,596,40-44,F,01:33:17,03:06:53
Saunders,Jessica,GBR,598,18-39,F,01:27:33,02:53:39
Pearson,Gill,GBR,599,45-49,F,01:28:09,03:00:34
Birch,Annie,GBR,600,18-39,F,01:24:44,02:48:42
Taylor,Emma,GBR,608,18-39,F,01:22:34,02:47:11
Bradley,Caitlin,GBR,609,18-39,F,01:25:54,03:01:53
Jackson,Hazel,GBR,614,18-39,F,01:26:16,02:53:26
Seymour,Natalie,GBR,616,18-39,F,01:23:39,02:55:16
Harris,Karima,GBR,621,50-54,F,01:30:01,02:58:51
Svenson,Charlotte,GBR,623,18-39,F,01:30:50,03:02:48
Slorach,Clare,GBR,624,18-39,F,01:29:03,03:05:37
Makaronidis,Janine,GBR,628,18-39,F,01:29:15,02:59:00
Surilov,Lena,USA,634,40-44,F,01:29:09,02:57:39
Owen,Rachel,GBR,635,18-39,F,01:27:32,02:54:52
Hanson,Charlie,GBR,636,18-39,F,01:28:08,02:56:12
Edwards nee Triggs,Carmel,GBR,639,40-44,F,01:30:39,03:05:40
London,Suzanne,USA,649,18-39,F,01:20:18,02:48:18
Beard,Florence,GBR,650,18-39,F,01:31:00,03:03:44
Mare,Samantha,ZIM,651,18-39,F,01:26:41,02:55:23
Freeman,Emily,GBR,653,18-39,F,01:26:50,02:57:29
Lawson,Victoria,GBR,656,18-39,F,01:28:18,02:57:55
Record,Helen,GBR,657,18-39,F,01:26:20,02:54:49
Scrivens,Anna,GBR,658,18-39,F,01:32:31,03:07:44
Kruger,Sarah,USA,660,18-39,F,01:25:07,02:51:33
Williams,Victoria,GBR,664,18-39,F,01:26:44,02:54:32
Anand,Jessica,GBR,666,18-39,F,01:27:56,03:00:26
Sangster,Jennifer,GBR,674,45-49,F,01:28:04,03:01:33
Price,Wendy,GBR,680,40-44,F,01:30:24,03:08:17
Dimond,Elizabeth,GBR,681,18-39,F,01:28:24,02:56:37
Hayes,Siena,GBR,684,18-39,F,01:34:15,03:07:28
Allan,Lisa,GBR,694,40-44,F,01:31:02,03:07:28
Fraser,Catriona,GBR,705,18-39,F,01:27:07,02:58:02
Mcgowan,Ailie,GBR,706,18-39,F,01:28:24,03:04:10
Leetch,Sharon,GBR,715,45-49,F,01:29:58,03:05:02
Mcguckin,Elaine,GBR,716,18-39,F,01:24:15,02:55:15
Mccrory,Gillian,GBR,717,40-44,F,01:25:59,02:53:41
Young,Lorna,GBR,718,18-39,F,01:27:22,02:58:26
Harrison,Rebecca,GBR,719,40-44,F,01:26:04,02:56:27
Robinson,Joanne,GBR,724,45-49,F,01:29:20,03:06:50
Funderburk,Sarah,USA,726,18-39,F,01:29:17,03:01:51
Mapp,Lucy,GBR,729,18-39,F,01:25:36,02:50:46
Cormack,Mary,GBR,730,18-39,F,01:32:24,03:05:31
Sutherland,Matthew,GBR,837,18-39,M,01:12:11,02:24:49
Macdonald,Iain,GBR,840,18-39,M,01:17:42,02:35:39
Yates,Gregor,GBR,841,18-39,M,01:11:22,02:23:11
Ramsier,Alix,GBR,842,18-39,M,01:14:23,02:29:36
Rodgers,Paul,,850,18-39,M,01:12:40,02:25:16
Tyler,Ben,GBR,860,18-39,M,01:14:55,02:32:44
Dettmar,Christopher,GBR,864,50-54,M,01:15:59,02:35:57
Blake,Stephen,GBR,874,18-39,M,01:12:40,02:26:06
Greenleaf,Andrew,GBR,893,18-39,M,01:12:10,02:28:13
Braden,Ross,GBR,895,18-39,M,01:08:30,02:19:33
Phillips,Thomas,GBR,901,18-39,M,01:17:22,02:36:23
Wilson,Robert,GBR,905,18-39,M,01:12:39,02:28:15
Burgoyne,Chris,GBR,909,40-44,M,01:14:50,02:31:31
Molyneux,Paul,GBR,910,40-44,M,01:11:05,02:25:56
Boucher,Michael,GBR,918,40-44,M,01:16:15,02:35:23
Morwood,Joe,GBR,919,18-39,M,01:09:50,02:22:20
Archer,Dave,GBR,923,18-39,M,01:11:00,02:25:04
Nutt,Matthew,GBR,934,18-39,M,01:15:47,02:32:26
Clark,Anthony,GBR,938,40-44,M,01:12:45,02:27:35
Garrod,Ollie,GBR,944,18-39,M,01:10:29,02:23:39
Jones,Daniel,GBR,949,18-39,M,01:14:23,02:36:15
Walton,Jonathan,GBR,950,50-54,M,01:12:03,02:29:01
Lighting,Peter,GBR,953,40-44,M,01:15:02,02:33:03
Xenos,Christoforos,GRE,971,18-39,M,01:14:49,02:28:50
Hind,Elliot,GBR,973,18-39,M,01:14:29,02:31:58
Connor,James,GBR,976,18-39,M,01:08:12,02:20:16
Mackrell,Peter,GBR,980,18-39,M,01:12:42,02:29:52
Hogan,Sean,GBR,1001,18-39,M,01:12:11,02:23:34
Michaelson-yeates,Rob,GBR,1002,40-44,M,01:12:41,02:28:33
Shearer,Ben,GBR,1007,45-49,M,01:13:01,02:26:59
Hoad,James,GBR,1016,18-39,M,01:12:23,02:26:43
Morris,David,GBR,1018,18-39,M,01:14:46,02:33:19
Baksh,Peter,GBR,1021,18-39,M,01:12:54,02:30:55
Dickens,Phil,GBR,1039,40-44,M,01:16:31,02:36:05
O'connor,Brian,GBR,1043,40-44,M,01:14:15,02:30:53
Ollington,Richard,GBR,1045,18-39,M,01:09:51,02:24:14
Welborn,Karl,GBR,1066,40-44,M,01:09:52,02:21:36
Boswell,Jack,GBR,1080,18-39,M,01:14:00,02:31:11
Macdonald,James,GBR,1083,40-44,M,01:13:34,02:31:46
Fairbrother,Tom,GBR,1098,18-39,M,01:15:36,02:31:16
Baynton,Lee,GBR,1100,18-39,M,01:16:04,02:33:08
Farmer,Stuart,GBR,1101,40-44,M,01:14:37,02:33:40
Renshaw,Ben,GBR,1114,40-44,M,01:12:47,02:29:19
Borton,John,GBR,1115,18-39,M,01:16:56,02:33:37
Lupton,Harry,IRL,1118,18-39,M,01:14:04,02:29:45
Greenwood,Christopher,GBR,1122,45-49,M,01:12:11,02:28:14
Cracknell,Jon,GBR,1133,18-39,M,01:12:40,02:30:56
Blaiklock,Jack,GBR,1152,18-39,M,01:11:53,02:24:53
Shaw,Thomas,GBR,1158,18-39,M,01:16:46,02:35:57
Scott,Rob,GBR,1161,18-39,M,01:12:50,02:26:39
Pewter,Josh,GBR,1164,18-39,M,01:15:36,02:34:28
Gibson,Gwylym,GBR,1165,18-39,M,01:16:42,02:35:54
Yates,Steven,GBR,1171,18-39,M,01:14:42,02:31:02
Barnes,Andrew,GBR,1179,18-39,M,01:16:26,02:33:38
Hobbs,Steve,GBR,1194,45-49,M,01:14:42,02:31:02
Mcdonnell,Alistair,GBR,1198,18-39,M,01:14:08,02:30:35
Courtney-pinn,Bradley,GBR,1201,18-39,M,01:14:05,02:33:18
Fox,Simon,GBR,1204,18-39,M,01:14:55,02:31:27
Woodward,Anthony,GBR,1205,18-39,M,01:12:44,02:24:39
Darby,Alan,GBR,1207,18-39,M,01:13:13,02:28:40
Soszka,Marcin,POL,1211,18-39,M,01:12:22,02:29:39
Jackson,Stephen,GBR,1213,18-39,M,01:12:51,02:26:51
Rees,Edward,GBR,1225,18-39,M,01:14:21,02:33:07
Jeffries,Matthew,GBR,1226,18-39,M,01:14:59,02:31:18
Rock,Danny,GBR,1241,18-39,M,01:11:12,02:28:27
Faudemer,James,GBR,1242,18-39,M,01:14:46,02:32:51
Dickinson,Matthew,GBR,1252,18-39,M,01:09:10,02:19:23
Osborne,Trevor,GBR,1255,18-39,M,01:15:30,02:34:30
Magrath,Stephen,GBR,1260,18-39,M,01:15:48,02:35:35
Burnip,Luc,GBR,1269,18-39,M,01:14:48,02:31:36
Mcdowell,Richard,GBR,1271,40-44,M,01:09:49,02:23:06
Goddard,Ben,GBR,1278,18-39,M,01:12:42,02:31:28
Nicholson hughes,Ben,GBR,1286,18-39,M,01:16:21,02:34:38
Griffin,Derek,IRL,1292,18-39,M,01:14:10,02:29:04
Bovingdon,Ed,GBR,1298,18-39,M,01:11:51,02:24:20
Mcdaniel,Matt,GBR,1303,18-39,M,01:14:06,02:34:48
Taylor,Craig,GBR,1307,18-39,M,01:16:10,02:33:31
Spencer,Robert,GBR,1310,18-39,M,01:12:35,02:25:56
Heron,Ben,GBR,1312,18-39,M,01:12:32,02:28:27
Bowker,Nick,GBR,1314,18-39,M,01:09:51,02:20:25
Hartley,Joe,GBR,1316,18-39,M,01:14:09,02:28:06
Robinson,Peter,GBR,1317,18-39,M,01:11:05,02:26:36
Dale,Joe,GBR,1332,40-44,M,01:14:40,02:30:59
Fletcher,Steven,GBR,1333,18-39,M,01:16:07,02:34:04
Coyle,Nicholas,GBR,1334,18-39,M,01:14:37,02:29:56
Cumine,Andrew,GBR,1338,18-39,M,01:14:40,02:34:32
Hudson,David,GBR,1347,40-44,M,01:12:19,02:27:32
Francis,Kevin,GBR,1348,40-44,M,01:14:22,02:33:35
Davidson,Aran,GBR,1350,18-39,M,01:12:40,02:28:42
Duncan,Ben,GBR,1352,18-39,M,01:14:09,02:34:23
Wyeth,David,GBR,1355,40-44,M,01:17:53,02:35:46
Barry,Nicholas,GBR,1359,18-39,M,01:12:59,02:26:12
Aldridge,Liam,GBR,1366,18-39,M,01:09:50,02:24:03
Wastvedt,Bjorn,USA,1376,18-39,M,01:12:47,02:28:31
Watson,Milan,GBR,1378,18-39,M,01:12:22,02:25:54
Cameron,Ewan,GBR,1379,40-44,M,01:14:40,02:30:34
Stone,John,GBR,1385,18-39,M,01:16:05,02:35:35
Elmore,Rob,GBR,1386,40-44,M,01:12:57,02:34:53
Gilfedder,John,GBR,1392,18-39,M,01:15:57,02:34:05
Kevern,Neil,GBR,1395,18-39,M,01:11:05,02:24:14
Delaney,Carl,GBR,1398,18-39,M,01:18:08,02:34:31
Smith,Orran,GBR,1404,40-44,M,01:12:44,02:32:23
Smith,Jay,GBR,1413,18-39,M,01:13:57,02:30:51
Ramm,Jack,GBR,1416,18-39,M,01:14:35,02:30:16
Fawcett,Christopher,GBR,1417,18-39,M,01:16:56,02:34:39
Ellison,James,GBR,1422,18-39,M,01:16:06,02:35:34
Howe,Benjamin,GBR,1423,18-39,M,01:15:47,02:32:15
Almond,Thomas,GBR,1428,18-39,M,01:13:02,02:28:30
Bester,Nick,RSA,1429,18-39,M,01:09:52,02:33:26
Brooks,Donald,GBR,1433,40-44,M,01:12:56,02:29:03
Broderick,James,GBR,1434,45-49,M,01:16:17,02:33:38
Waddington,Michael,GBR,1435,18-39,M,01:11:22,02:25:35
Collins,Nick,GBR,1437,40-44,M,01:16:03,02:35:58
Payne,John,GBR,1442,18-39,M,01:14:22,02:28:36
Howard,Ben,GBR,1443,18-39,M,01:14:54,02:31:11
Priestley,Samuel,GBR,1445,18-39,M,01:14:43,02:32:13
Harris-fry,Nick,GBR,1455,18-39,M,01:13:31,02:33:11
Hoenig,Sebastian,GER,1456,40-44,M,01:14:58,02:29:56
Jordan,David,GBR,1466,18-39,M,01:17:13,02:35:28
Gundersen,Eirik,NOR,1467,40-44,M,01:15:10,02:35:56
Burman,Richard,SUI,1470,18-39,M,01:14:02,02:34:06
De mata,Javier,ESP,1476,40-44,M,01:12:41,02:25:32
Seddon,Dale,GBR,1477,18-39,M,01:13:24,02:27:01
Lilley,Richard,GBR,1481,18-39,M,01:15:37,02:33:21
Ralston,James,NZL,1485,18-39,M,01:14:47,02:32:41
Emmerson,Mark,GBR,1492,18-39,M,01:15:07,02:31:08
Hurrell,James,GBR,1506,18-39,M,01:16:06,02:34:38
Prosser,David,GBR,1509,18-39,M,01:15:49,02:34:46
Dewar,Brandon,AUS,1511,18-39,M,01:13:50,02:36:00
Mcintyre,Liam,GBR,1513,40-44,M,01:16:27,02:32:48
Bakke,Morten,NOR,1520,18-39,M,01:14:36,02:28:53
Leaman,Ben,GBR,1528,18-39,M,01:13:45,02:26:39
Rodrigues,Vitor,USA,1530,18-39,M,01:14:33,02:31:50
Dombi,Zach,USA,1533,18-39,M,01:13:18,02:29:58
Kruger,Matthew,USA,1536,18-39,M,01:11:11,02:29:19
Rawlinson,Stuart,RSA,1551,40-44,M,01:16:52,02:35:46
Thorstein,Harald,GBR,1557,40-44,M,01:15:04,02:35:51
Williams,Oliver,GBR,1568,18-39,M,01:17:23,02:36:14
Ruddy,Craig,GBR,1592,18-39,M,01:11:04,02:25:34
Sharp,John,GBR,1597,45-49,M,01:14:11,02:29:53
Johnson,Leon,GBR,1602,40-44,M,01:15:32,02:35:37
Arnold,Jack,GBR,1603,18-39,M,01:14:13,02:31:06
Richardson,Chris,,1607,18-39,M,01:19:19,02:34:34
D'agrosa,Marcus,GBR,1608,18-39,M,01:16:12,02:34:10
Walker,Greg,GBR,1610,40-44,M,01:16:11,02:34:46
Rodgers,Lewis,GBR,1613,18-39,M,01:12:52,02:31:58
Wilson,Kenny,GBR,1622,18-39,M,01:07:23,02:18:42
Gemmell,Nicholas,GBR,1625,45-49,M,01:17:11,02:34:19
Tucker,Peter,GBR,1627,40-44,M,01:12:46,02:28:27
Roebuck,Jonathan,GBR,1629,18-39,M,01:14:10,02:31:23
Christie,Allan,GBR,1635,40-44,M,01:18:26,02:36:01
Carroll,Iain,GBR,1638,40-44,M,01:17:15,02:35:25
Sandison,Charlie,GBR,1640,18-39,M,01:12:11,02:25:14
Hamilton,David,GBR,1643,18-39,M,01:14:45,02:29:58
Fearon,Seamus,IRL,1644,40-44,M,01:14:42,02:31:03
Budde,James,GBR,1649,40-44,M,01:14:24,02:33:03
Morrow,Garry,GBR,1650,18-39,M,01:14:23,02:30:58
Hughes,Tommy,IRL,1651,60-64,M,01:13:45,02:30:46
Scullion,Adrian,GBR,1652,40-44,M,01:15:09,02:33:45
Hughes,Eoin,IRL,1653,18-39,M,01:13:59,02:29:57
Hegarty,Gary,GBR,1656,18-39,M,01:11:44,02:28:06
O'donnell,Paddy,IRL,1662,18-39,M,01:16:42,02:34:39
Altan,Ugur,GBR,1668,18-39,M,01:14:55,02:32:40
Williams,Chris,GBR,1669,18-39,M,01:12:43,02:26:33
Nugent,Dan,GBR,1676,45-49,M,01:16:13,02:34:55
Bagley,Daniel,GBR,1693,18-39,M,01:12:01,02:24:56
Baker,Joseph,GBR,1696,18-39,M,01:16:45,02:32:01
Payne,Tony,THA,1698,18-39,M,01:07:23,02:20:50
Smale,David,GBR,5819,18-39,M,01:17:34,02:34:44
Graham,James,GBR,6582,18-39,M,01:17:09,02:33:47
godof,katie,GBR,7228,40-44,F,01:28:57,03:03:41
Bowling,Kim,GBR,10238,18-39,M,01:16:31,02:34:43
Baird,Lorna,GBR,10920,18-39,F,01:34:37,03:07:03
Silke,Katie,GBR,13295,18-39,F,01:32:09,03:06:43
Foster,Jack,GBR,14485,18-39,M,01:17:00,02:35:13
Smith,Kristyn,USA,20008,18-39,F,01:30:15,03:07:53
Carr,Emily,GBR,20446,18-39,F,01:29:15,03:07:11
Bramley,Emma,GBR,21363,18-39,F,01:30:55,03:04:57
Milne,Alex,GBR,21576,18-39,M,01:17:05,02:33:04
Penfold,Charlotte,GBR,23519,18-39,F,01:29:38,03:06:16
Lee,Cheryl,GBR,23954,40-44,F,01:32:20,03:05:57
Stephenson,Jamie,GBR,24038,18-39,M,01:13:51,02:28:22
Kelly,Dan,GBR,24045,18-39,M,01:14:38,02:35:55
Martin,Joseph,GBR,24161,18-39,M,01:16:27,02:35:39
Moore,Fenella,GBR,24180,18-39,F,01:27:07,02:56:55
Crocker,Justin,GBR,24333,40-44,M,01:15:57,02:34:51
Robbins,Louisa,GBR,24334,18-39,F,01:27:58,02:56:52
Bromley,Jack,GBR,24364,18-39,M,01:12:41,02:28:20
Sanders,Hannah,GBR,24486,18-39,F,01:33:43,03:07:58
Cackett,Lee,RSA,24597,18-39,F,01:33:32,03:08:03
Mills,Henrietta,GBR,24602,18-39,F,01:28:52,02:59:55
Hilling,Jonathan,GBR,24671,18-39,M,01:16:00,02:33:39
Beloou,Trudi,GBR,24758,45-49,F,01:30:07,03:05:24
Sanders,Phil,GBR,24930,45-49,M,01:15:39,02:34:59
Nairn,Elizabeth,GBR,24937,18-39,F,01:33:36,03:04:59
Mccloskey,Rachel,IRL,24949,18-39,F,01:29:58,03:04:28
Klucnika,Anna,LAT,25189,18-39,F,01:28:04,03:02:17
Burrough,Claudia,GBR,25208,18-39,F,01:31:24,03:02:43
Hatfield,Della,GBR,25373,18-39,F,01:27:52,03:01:56
Kibble,Lee,GBR,25381,18-39,M,01:17:13,02:36:22
Stubbs,Isabel,GBR,25470,18-39,F,01:31:03,03:06:11
Kinsella,John,IRL,25548,40-44,M,01:14:00,02:29:18
Marques,Mariana,POR,25563,18-39,F,01:26:10,02:54:28
Morris,Owain,GBR,25693,18-39,M,01:15:44,02:34:27
Polhill,Gary,GBR,25696,40-44,M,01:16:35,02:35:31
Dickson-bell,Arthur,GBR,25865,18-39,M,01:13:34,02:29:19
Doyle,Carly,GBR,25871,18-39,F,01:32:04,03:01:06
Rye,Tom,,26044,18-39,M,01:17:37,02:36:11
Bucci,Michele,ITA,26145,18-39,M,01:16:55,02:33:22
Ravenhall,George,GBR,26164,18-39,M,01:14:39,02:34:07
Holmes,Chris,GBR,26276,18-39,M,01:13:29,02:34:44
Flynn,Louise,GBR,26322,18-39,F,01:29:48,03:02:50
Ford,Christie,GBR,26329,18-39,F,01:32:34,03:05:33
Pearse,Abbie,GBR,26422,18-39,F,01:26:15,02:59:15
Baker,Jason,GBR,26679,18-39,M,01:13:51,02:32:31
Carre,Vicky,GBR,26688,45-49,F,01:32:04,03:04:48
Green,Nicole,GBR,26699,18-39,F,01:26:10,02:53:18
Hawthorn,Eliza,GBR,26901,18-39,F,01:29:14,03:00:08
Arens,Johannes,GER,27127,18-39,M,01:09:16,02:23:55
Marchant,Emily,GBR,27235,18-39,F,01:28:25,02:56:36
Shiels,Hannah,GBR,27323,40-44,F,01:30:56,03:08:26
Fouhy,Vicky,GBR,27371,18-39,F,01:23:21,02:49:51
Culliford,Liam,GBR,27582,18-39,M,01:17:11,02:36:13
Kidd,Jack,GBR,27675,18-39,M,01:14:33,02:32:04
French,Anneka,GBR,27911,18-39,F,01:30:47,03:04:18
Mason,Chris,GBR,28049,18-39,M,01:13:28,02:33:22
Armstrong,Susie,GBR,31493,18-39,F,01:32:27,03:07:37
Elbayan,Mohammed,GBR,32954,18-39,M,01:12:30,02:31:13
Cavey,Kali,USA,34852,18-39,F,01:25:31,02:50:54
Ridgway,Katelyn,GBR,35990,18-39,F,01:20:56,02:42:30
Fraquelli,Andrea,GBR,39679,18-39,M,01:13:36,02:29:56
Jeff,Rachel,GBR,42078,40-44,F,01:32:35,03:04:40
Mushen,Jeremiah,USA,44577,45-49,M,01:16:25,02:35:17
Ploner,Markus,ITA,48627,40-44,M,01:08:26,02:23:07
Kopec,Wojciech,POL,48679,18-39,M,01:11:03,02:33:59
Rungger,Hannes,ITA,48705,18-39,M,01:12:22,02:26:06
Maddox,Sharada,USA,48769,18-39,F,01:23:15,02:53:07
McNeilly,Dannielle,USA,48770,18-39,F,01:29:15,03:06:55
M�ller,Jonas,GER,48810,18-39,M,01:15:12,02:31:42
Campion,Milan,GBR,48838,18-39,M,01:17:46,02:34:25
Charles-Barclay,LUCY,GBR,50163,18-39,F,01:19:37,02:47:53
Flanagan,Shalane,GBR,50203,40-44,F,01:15:04,02:35:04
Fagnani,Francesco,GBR,50286,18-39,M,01:15:46,02:32:56
Schenk,Luis,ITA,50287,18-39,M,01:13:32,02:28:13
VILLEGAS,ANA,COL,51240,40-44,F,01:25:51,03:02:23
Izquierdo,Roberto,ESP,51417,18-39,M,01:16:09,02:35:15
Diquigiovanni,Barbara,ITA,51992,50-54,F,01:32:55,03:05:09
Sterchi,Flavio,SUI,52949,18-39,M,01:16:30,02:33:54
Mu�oz garcia,Javier,ESP,53175,18-39,M,01:13:21,02:32:29
Wasniewska,Karolina,POL,53240,40-44,F,01:28:54,02:57:16
Haagen,Inez-anne,NED,53314,55-59,F,01:28:21,02:58:53
Angus,Mark,RSA,53869,40-44,M,01:14:30,02:29:00
Bjurstr�m,Lisa,SWE,54237,18-39,F,01:27:02,02:55:51
Skeide ruth,Marius,NOR,54530,18-39,M,01:13:34,02:33:48
Whelan,John,IRL,55087,40-44,M,01:14:06,02:34:28
Propst,Marlou,NED,55635,18-39,F,01:31:23,03:04:44
