route_id,depart_code,arrive_code,route,service,ferry_type,seasonal,operator,service_id,service_code,service_type,operator_code,operator_url,subsidy_type,subsidy_provider,distance_miles,duration_hours
F02603,PWY,KWL,Papa Westray (Moclett) - Kirkwall,Kirkwall - Westray - Papa Westray,Vehicle,Year Round,Orkney Ferries,OF5-PWY-KWL,OF5,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,26.37,1.83
F02701,LGS,CUM,Largs - Great Cumbrae (Cumbrae Slip),Largs - Great Cumbrae,Vehicle,Year Round,CalMac Ferries,CM7-LGS-CUM,CM7,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,1.22,0.17
F02801,LAX,SYM,Laxo - Whalsay (Symbister),Laxo - Vidlin - Whalsay,Vehicle,Year Round,Shetland Council,SF5-LAX-SYM,SF5,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,5.39,0.5
F02802,VID,SYM,Vidlin - Whalsay (Symbister),Laxo - Vidlin - Whalsay,Vehicle,Year Round,Shetland Council,SF5-VID-SYM,SF5,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,7.95,
F02901,LRK,MYF,Lerwick (Esplanade) - Bressay (Maryfield House),Lerwick - Bressay,Vehicle,Year Round,Shetland Council,SF4-LRK-MYF,SF4,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,0.73,0.12
F03001,LRK,FIE,Lerwick (Esplanade) - Fair Isle,Lerwick - Grutness - Fair Isle,Passenger,Year Round,Shetland Council,SF7-LRK-FIE,SF7,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,47.28,
F03101,LRK,OUT,Lerwick (Esplanade) - Out Skerries (Bruray),Lerwick - Out Skerries - Whalsay - Laxo - Vidlin,Vehicle,Year Round,Shetland Council,SF3-LRK-OUT,SF3,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,23.77,2.25
F03102,OUT,SYM,Out Skerries (Bruray) - Whalsay (Symbister),Lerwick - Out Skerries - Whalsay - Laxo - Vidlin,Vehicle,Year Round,Shetland Council,SF3-OUT-SYM,SF3,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,12.85,1.5
F03103,VID,OUT,Vidlin - Out Skerries (Bruray),Lerwick - Out Skerries - Whalsay - Laxo - Vidlin,Vehicle,Year Round,Shetland Council,SF3-VID-OUT,SF3,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,16.02,1.5
F03201,PRA,PAP,Lismore (Port Ramsay) - Port Appin,Lismore - Port Appin,Passenger,Year Round,Argyll & Bute Council,LIS-PRA-PAP,LIS,Lifeline,ABF,https://www.argyll-bute.gov.uk/port-appin-point-lismore-ferry-timetable,Local Authority,Argyll & Bute Council,0.9,0.17
F03301,LHL,FIB,Lochaline - Mull (Fishnish),Lochaline - Mull,Vehicle,Year Round,CalMac Ferries,CM12-LHL-FIB,CM12,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,2.2,0.3
F03401,MLG,GAL,Mallaig - Eigg (Galmisdale),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-MLG-GAL,CM19,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,15.27,1.3
F03402,GAL,PTM,Eigg (Galmisdale) - Muck (Port Mor),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-GAL-PTM,CM19,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,5.94,0.58
F03403,PTM,KLH,Muck (Port Mor) - Rum (Kinloch),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-PTM-KLH,CM19,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,15.56,1.17
F03404,KLH,CAN,Rum (Kinloch) - Canna,Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-KLH-CAN,CM19,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,12.49,0.97
F03405,KLH,GAL,Rum (Kinloch) - Eigg (Galmisdale),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Summer,CalMac Ferries,CM19-KLH-GAL,CM19,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,13.93,1.0
F03406,MLG,KLH,Mallaig - Rum (Kinloch),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-MLG-KLH,CM19,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,17.29,1.3
F03407,CAN,MLG,Canna - Mallaig,Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-CAN-MLG,CM19,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,26.65,2.13
F03409,PTM,CAN,Muck (Port Mor) - Canna,Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Summer,CalMac Ferries,CM19-PTM-CAN,CM19,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,24.05,1.58
F03501,MGK,IVE,Mallaig (Knoydart Pier) - Inverie,Mallaig - Inverie - Tarbet,Passenger,Year Round,Knoydart Seabridge,F7-MGK-IVE,F7,Lifeline,KDS,http://www.knoydartferry.com/,Private,,6.16,0.58
F03502,IVE,TLN,Inverie - Tarbet (Loch Nevis),Mallaig - Inverie - Tarbet,Passenger,Year Round,Knoydart Seabridge,F7-IVE-TLN,F7,Lifeline,KDS,http://www.knoydartferry.com/,Private,,5.44,0.5
F03503,TLN,ADT,Tarbet (Loch Nevis) - Knoydart (Ardintigh),Mallaig - Inverie - Tarbet,Passenger,Year Round,Knoydart Seabridge,F7-TLN-ADT,F7,Lifeline,KDS,http://www.knoydartferry.com/,Private,,1.45,0.17
F03504,ADT,IVE,Knoydart (Ardintigh) - Inverie,Mallaig - Inverie - Tarbet,Passenger,Year Round,Knoydart Seabridge,F7-ADT-IVE,F7,Lifeline,KDS,http://www.knoydartferry.com/,Private,,4.66,0.5
F03601,MLG,ARM,Mallaig - Skye (Armadale),Mallaig - Skye,Vehicle,Year Round,CalMac Ferries,CM18-MLG-ARM,CM18,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,5.06,0.63
F03701,ULV,UFU,Mull (Sound of Ulva) - Ulva,Mull - Ulva,Passenger,Year Round,Ulva Ferry,ULV-ULV-UFU,ULV,Lifeline,ULV,http://www.isleofulva.com/visitor-information/,Private,,0.14,0.17
F03801,CRR,ARG,Nether Lochaber - Ardgour,Nether Lochaber - Ardgour,Vehicle,Year Round,Highland Council,F9-CRR-ARG,F9,Lifeline,THC,http://www.lochabertransport.org.uk/TransportinLochaber/PublicTransport/Ferries/CorranFerry.aspx,Local Authority,Highland Council,0.26,0.08
F03901,BNY,LEV,North Uist (Berneray) - Harris (Leverburgh),North Uist - Harris,Vehicle,Year Round,CalMac Ferries,CM23-BNY-LEV,CM23,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,9.58,1.0
F04001,OBA,CBA,Oban - Barra (Castlebay),Oban - Barra,Vehicle,Year Round,CalMac Ferries,CM20-OBA-CBA,CM20,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,87.72,4.75
F04101,OBA,COL,Oban - Coll,Oban - Coll - Tiree,Vehicle,Year Round,CalMac Ferries,CM16-OBA-COL,CM16,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,47.57,2.67
F04102,COL,TRE,Coll - Tiree,Oban - Coll - Tiree,Vehicle,Year Round,CalMac Ferries,CM16-COL-TRE,CM16,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,14.23,0.92
F04103,TRE,OBA,Tiree - Oban,Oban - Coll - Tiree,Vehicle,Year Round,CalMac Ferries,CM16-TRE-OBA,CM16,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,60.29,3.38
F04201,OBA,CSY,Oban - Colonsay,Oban - Colonsay - Islay,Vehicle,Year Round,CalMac Ferries,CM10-OBA-CSY,CM10,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,36.68,2.37
F04202,CSY,PAK,Colonsay - Islay (Port Askaig),Oban - Colonsay - Islay,Vehicle,Summer,CalMac Ferries,CM9-CSY-PAK,CM9,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,16.22,1.13
F04301,OKF,KER,Oban (Gallanach) - Kerrera,Oban - Kerrera,Passenger,Year Round,CalMac Ferries,KER-OKF-KER,KER,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,0.38,0.08
F04401,OBA,LMR,Oban - Lismore (Achnacroish),Oban - Lismore,Vehicle,Year Round,CalMac Ferries,CM15-OBA-LMR,CM15,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,7.25,0.92
F04501,OBA,CNU,Oban - Mull (Craignure),Oban - Mull,Vehicle,Year Round,CalMac Ferries,CM11-OBA-CNU,CM11,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,10.11,0.83
F04701,RFW,YOK,Renfrew - Yoker,Renfrew - Yoker,Passenger,Year Round,Clydelink,CLK-RFW-YOK,CLK,Lifeline,CLK,http://www.clydelink.co.uk/,Private,,0.17,0.08
F04801,SCY,FOA,Scalloway - Foula,Walls - Scalloway - Foula,Passenger,Summer,B K Marine,SF8-SCY-FOA,SF8,Lifeline,ATL,http://www.bkmarine.org/Timetable.htm,Local Authority,Shetland Islands Council,27.19,0.0
F04901,SCG,BAD,Scoraig - Badluarach,Scoraig - Badluarach,Passenger,Summer,Scoraig Ferry,SCR-SCG-BAD,SCR,Lifeline,SCR,,Private,,1.01,0.25
F05001,SCR,SNS,Scrabster - Stromness,Scrabster - Stromness,Vehicle,Year Round,Northlink Ferries,NL1-SCR-SNS,NL1,Lifeline,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,29.54,1.5
F05001A,SCR,SNS,Scrabster - Stromness,Scrabster - Stromness (Alternate Route),Vehicle,Year Round,Northlink Ferries,NL1-SCR-SNS,NL1,Alternate,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,34.37,1.5
F05101,CUN,LUI,Seil (Cuan) - Luing (South Cuan),Siel - Luing,Vehicle,Year Round,Argyll & Bute Council,LUI-CUN-LUI,LUI,Lifeline,ABF,https://www.argyll-bute.gov.uk/isle-luing-isle-seil-ferry-timetable,Local Authority,Argyll & Bute Council,0.16,0.08
F05201,GLE,KYL,Glenelg - Skye (Kylerhea),Skye - Glenelg,Vehicle,Summer,Skye Ferry CIC,F01-GLE-KYL,F01,Lifeline,SFC,http://skyeferry.co.uk/,Mixed,,0.34,0.17
F05301,UIG,TAB,Skye (Uig) - Harris (Tarbert),Skye - Harris,Vehicle,Year Round,CalMac Ferries,CM22-UIG-TAB,CM22,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,27.94,1.67
F05401,UIG,LMA,Skye (Uig) - North Uist (Lochmaddy),Skye - North Uist,Vehicle,Year Round,CalMac Ferries,CM22-UIG-LMA,CM22,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,30.07,1.77
F05502,SCO,RAA,Skye (Sconser) - Raasay (Churchton Bay),Skye - Raasay,Vehicle,Year Round,CalMac Ferries,CM17-SCO-RAA,CM17,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,2.98,0.42
F05601,SNS,NHY,Stromness - Hoy (Moaness),Stromness - Hoy - Graemsay,Passenger,Year Round,Orkney Ferries,OF1-SNS-NHY,OF1,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,4.17,0.47
F05602,NHY,GAE,Hoy (Moaness) - Graemsay,Stromness - Hoy - Graemsay,Passenger,Year Round,Orkney Ferries,OF1-NHY-GAE,OF1,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.74,0.25
F05603,GAE,SNS,Graemsay - Stromness,Stromness - Hoy - Graemsay,Passenger,Year Round,Orkney Ferries,OF1-GAE-SNS,OF1,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,2.79,0.25
F05701,LCT,PAV,Tarbert - Portavadie,Tarbert - Portavadie,Vehicle,Year Round,CalMac Ferries,CM2-LCT-PAV,CM2,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,3.42,0.42
F05801,LCT,LCR,Tarbert - Arran (Lochranza),Tarbert - Arran,Vehicle,Winter,CalMac Ferries,CM6-LCT-LCR,CM6,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,13.14,1.42
F05901,TYL,AMH,Tayinloan - Gigha,Tayinloan - Gigha,Vehicle,Year Round,CalMac Ferries,CM8-TYL-AMH,CM8,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,2.79,0.33
F06001,TAV,CJU,Tayvallich - Jura (Craighouse),Tayvallich - Jura,Passenger,Summer,Jura Development Trust,TAV-TAV-CJU,TAV,Lifeline,NMK,http://www.jurapassengerferry.com/,Mixed,,20.7,1.0
F06101,TWL,ROU,Tingwall - Rousay,Tingwall - Rousay - Egilsay - Wyre,Vehicle,Year Round,Orkney Ferries,OF3-TWL-ROU,OF3,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.52,0.45
F06102,ROU,EGI,Rousay - Egilsay,Tingwall - Rousay - Egilsay - Wyre,Vehicle,Year Round,Orkney Ferries,OF3-ROU-EGI,OF3,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,2.81,0.25
F06103,ROU,WYR,Rousay - Wyre,Tingwall - Rousay - Egilsay - Wyre,Vehicle,Year Round,Orkney Ferries,OF3-ROU-WYR,OF3,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,0.53,0.08
F06104,EGI,WYR,Egilsay - Wyre,Tingwall - Rousay - Egilsay - Wyre,Vehicle,Year Round,Orkney Ferries,OF3-EGI-WYR,OF3,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,2.61,0.25
F06201,TOB,KLB,Mull (Tobermory) - Ardnamurchan (Kilchoan),Tobermory - Kilchoan,Vehicle,Year Round,CalMac Ferries,CM14-TOB-KLB,CM14,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,5.21,0.58
F06301,TOF,ULS,Toft - Yell (Ulsta),Toft - Yell,Vehicle,Year Round,Shetland Council,SF1-TOF-ULS,SF1,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,2.79,0.33
F06401,ULL,STO,Ullapool - Lewis (Stornoway),Ullapool - Lewis,Vehicle,Year Round,CalMac Ferries,CM25-ULL-STO,CM25,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,51.06,2.5
F06701,WLS,FOA,Walls - Foula,Walls - Scalloway - Foula,Passenger,Year Round,B K Marine,SF8-WLS-FOA,SF8,Lifeline,ATL,http://www.bkmarine.org/Timetable.htm,Local Authority,Shetland Islands Council,18.55,2.25
F06801,WMB,RAY,Wemyss Bay - Bute (Rothesay),Bute - Gourock - Wemyss Bay,Vehicle,Year Round,CalMac Ferries,CM3-WMB-RAY,CM3,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,6.87,0.58
F06802,RAY,GUR,Bute (Rothesay) - Gourock,Bute - Gourock - Wemyss Bay,Vehicle,Winter,CalMac Ferries,CM3-RAY-GUR,CM3,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,13.75,0.0
F06901,WBU,PST,West Burrafirth - Papa Stour,West Burrafirth - Papa Stour,Vehicle,Year Round,Shetland Council,SF6-WBU-PST,SF6,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,5.42,0.67
F07001,PWL,PWY,Westray (Pierowall) - Papa Westray (Moclett),Westray - Papa Westray,Passenger,Year Round,Orkney Ferries,OF7-PWL-PWY,OF7,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.3,0.42
F07101,GUT,BMT,Yell (Gutcher) - Unst (Belmont),Yell - Unst - Fetlar,Vehicle,Year Round,Shetland Council,SF2-GUT-BMT,SF2,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,1.24,0.17
F07102,BMT,ODD,Unst (Belmont) - Fetlar (Hamars Ness),Yell - Unst - Fetlar,Vehicle,Year Round,Shetland Council,SF2-BMT-ODD,SF2,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,4.26,0.43
