route_id,Route,Service,ferry_type,Seasonal,Operator,service_id,service_code,depart_code,arrive_code,service_type,operator_code,operator_url,subsidy_type,subsidy_provider,distance_miles,duration_est
F01701,Gourock - Kilcreggan,Gourock - Kilcreggan - Helensburgh,Passenger,Year Round,Clydelink,KIL-GUR-KGN,KIL,GUR,KGN,Lifeline,CLK,http://www.kilcregganferry.com/,Mixed,,1.77,0.22
F01801,Grutness - Fair Isle,Lerwick - Grutness - Fair Isle,Passenger,Year Round,Shetland Council,SF7-SUM-FIE,SF7,SUM,FIE,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,27.31,2.67
F01901,Houton - Hoy (Lyness),Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-HTN-LYS,OF2,HTN,LYS,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,6.13,0.58
F01902,Hoy (Lyness) - Flotta,Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-LYS-FLH,OF2,LYS,FLH,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,2.29,0.28
F01903,South Walls (Longhope) - Flotta,Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-LHP-FLH,OF2,LHP,FLH,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,4.09,0.33
F01904,Hoy (Lyness) - South Walls (Longhope),Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-LYS-LHP,OF2,LYS,LHP,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.79,0.33
F01905,Houton - Flotta,Houton - Hoy - Flotta - South Walls,Vehicle,Year Round,Orkney Ferries,OF2-HTN-FLH,OF2,HTN,FLH,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,6.28,0.58
F02001,Islay (Port Askaig) - Jura (Feolin),Islay - Jura,Vehicle,Year Round,ASP Ship Management,JUR-PAK-FEO,JUR,PAK,FEO,Lifeline,ABF,https://www.argyll-bute.gov.uk/port-askaig-feolin-ferry-timetable,Local Authority,Argyll & Bute Council,0.54,0.08
F02101,John O' Groats - South Ronaldsay (Burwick),John O' Groats - South Ronaldsay,Passenger,Summer,John O' Groats Ferries,JG1-JOG-BWC,JG1,JOG,BWC,Lifeline,JGF,http://www.jogferry.co.uk/Ferry.aspx,Private,,7.76,0.67
F02201,Kennacraig - Islay (Port Askaig),Kennacraig - Islay,Vehicle,Year Round,CalMac Ferries,CM9-KEN-PAK,CM9,KEN,PAK,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,29.38,1.98
F02202,Kennacraig - Islay (Port Ellen),Kennacraig - Islay,Vehicle,Year Round,CalMac Ferries,CM9-KEN-PLN,CM9,KEN,PLN,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,35.94,2.23
F02301,Kirkwall - North Ronaldsay,Kirkwall - North Ronaldsay - Papa Westray,Vehicle,Year Round,Orkney Ferries,OF6-KWL-NRO,OF6,KWL,NRO,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,34.21,
F02302,North Ronaldsay - Papa Westray (Moclett),Kirkwall - North Ronaldsay - Papa Westray,Vehicle,Summer,Orkney Ferries,OF6-NRO-PWY,OF6,NRO,PWY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,17.65,
F02401,Kirkwall - Sanday,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-KWL-NDY,OF5,KWL,NDY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,18.35,1.42
F02402,Sanday - Eday,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-NDY-EDY,OF5,NDY,EDY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.14,0.33
F02403,Eday - Stronsay,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-EDY-STY,OF5,EDY,STY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,6.97,0.62
F02404,Kirkwall - Stronsay,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-KWL-STY,OF5,KWL,STY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,21.59,1.63
F02405,Eday - Kirkwall,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Year Round,Orkney Ferries,OF5-EDY-KWL,OF5,EDY,KWL,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,16.59,1.25
F02406,Sanday - Stronsay,Kirkwall - Sanday - Eday - Stronsay,Vehicle,Winter,Orkney Ferries,OF5-NDY-STY,OF5,NDY,STY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,5.63,0.58
F02501,Kirkwall (Shapinsay Pier) - Shapinsay,Kirkwall - Shapinsay,Vehicle,Year Round,Orkney Ferries,OF4-KWS-SPY,OF4,KWS,SPY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,4.31,0.43
F02601,Kirkwall - Westray (Rapness),Kirkwall - Westray - Papa Westray,Vehicle,Year Round,Orkney Ferries,OF5-KWL-RAP,OF5,KWL,RAP,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,19.15,1.42
F02602,Westray (Rapness) - Papa Westray (Moclett),Kirkwall - Westray - Papa Westray,Vehicle,Year Round,Orkney Ferries,OF5-RAP-PWY,OF5,RAP,PWY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,8.44,0.67
F02603,Papa Westray (Moclett) - Kirkwall,Kirkwall - Westray - Papa Westray,Vehicle,Year Round,Orkney Ferries,OF5-PWY-KWL,OF5,PWY,KWL,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,26.37,1.83
F02701,Largs - Great Cumbrae (Cumbrae Slip),Largs - Great Cumbrae,Vehicle,Year Round,CalMac Ferries,CM7-LGS-CUM,CM7,LGS,CUM,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,1.22,0.17
F02801,Laxo - Whalsay (Symbister),Laxo - Vidlin - Whalsay,Vehicle,Year Round,Shetland Council,SF5-LAX-SYM,SF5,LAX,SYM,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,5.39,0.5
F02802,Vidlin - Whalsay (Symbister),Laxo - Vidlin - Whalsay,Vehicle,Year Round,Shetland Council,SF5-VID-SYM,SF5,VID,SYM,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,7.95,
F02901,Lerwick (Esplanade) - Bressay (Maryfield House),Lerwick - Bressay,Vehicle,Year Round,Shetland Council,SF4-LRK-MYF,SF4,LRK,MYF,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,0.73,0.12
F03001,Lerwick (Esplanade) - Fair Isle,Lerwick - Grutness - Fair Isle,Passenger,Year Round,Shetland Council,SF7-LRK-FIE,SF7,LRK,FIE,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,47.28,
F03101,Lerwick (Esplanade) - Out Skerries (Bruray),Lerwick - Out Skerries - Whalsay - Laxo - Vidlin,Vehicle,Year Round,Shetland Council,SF3-LRK-OUT,SF3,LRK,OUT,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,23.77,2.25
F03102,Out Skerries (Bruray) - Whalsay (Symbister),Lerwick - Out Skerries - Whalsay - Laxo - Vidlin,Vehicle,Year Round,Shetland Council,SF3-OUT-SYM,SF3,OUT,SYM,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,12.85,1.5
F03103,Vidlin - Out Skerries (Bruray),Lerwick - Out Skerries - Whalsay - Laxo - Vidlin,Vehicle,Year Round,Shetland Council,SF3-VID-OUT,SF3,VID,OUT,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,16.02,1.5
F03201,Lismore (Port Ramsay) - Port Appin,Lismore - Port Appin,Passenger,Year Round,Argyll & Bute Council,LIS-PRA-PAP,LIS,PRA,PAP,Lifeline,ABF,https://www.argyll-bute.gov.uk/port-appin-point-lismore-ferry-timetable,Local Authority,Argyll & Bute Council,0.9,0.17
F03301,Lochaline - Mull (Fishnish),Lochaline - Mull,Vehicle,Year Round,CalMac Ferries,CM12-LHL-FIB,CM12,LHL,FIB,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,2.2,0.3
F03401,Mallaig - Eigg (Galmisdale),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-MLG-GAL,CM19,MLG,GAL,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,15.27,1.3
F03402,Eigg (Galmisdale) - Muck (Port Mor),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-GAL-PTM,CM19,GAL,PTM,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,5.94,0.58
F03403,Muck (Port Mor) - Rum (Kinloch),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-PTM-KLH,CM19,PTM,KLH,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,15.56,1.17
F03404,Rum (Kinloch) - Canna,Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-KLH-CAN,CM19,KLH,CAN,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,12.49,0.97
F03405,Rum (Kinloch) - Eigg (Galmisdale),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Summer,CalMac Ferries,CM19-KLH-GAL,CM19,KLH,GAL,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,13.93,1
F03406,Mallaig - Rum (Kinloch),Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-MLG-KLH,CM19,MLG,KLH,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,17.29,1.3
F03407,Canna - Mallaig,Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Year Round,CalMac Ferries,CM19-CAN-MLG,CM19,CAN,MLG,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,26.65,2.13
F03409,Muck (Port Mor) - Canna,Mallaig - Eigg - Muck - Rum - Canna,Vehicle,Summer,CalMac Ferries,CM19-PTM-CAN,CM19,PTM,CAN,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,24.05,1.58
F03501,Mallaig (Knoydart Pier) - Inverie,Mallaig - Inverie - Tarbet,Passenger,Year Round,Knoydart Seabridge,F7-MGK-IVE,F7,MGK,IVE,Lifeline,KDS,http://www.knoydartferry.com/,Private,,6.16,0.58
F03502,Inverie - Tarbet (Loch Nevis),Mallaig - Inverie - Tarbet,Passenger,Year Round,Knoydart Seabridge,F7-IVE-TLN,F7,IVE,TLN,Lifeline,KDS,http://www.knoydartferry.com/,Private,,5.44,0.5
F03503,Tarbet (Loch Nevis) - Knoydart (Ardintigh),Mallaig - Inverie - Tarbet,Passenger,Year Round,Knoydart Seabridge,F7-TLN-ADT,F7,TLN,ADT,Lifeline,KDS,http://www.knoydartferry.com/,Private,,1.45,0.17
F03504,Knoydart (Ardintigh) - Inverie,Mallaig - Inverie - Tarbet,Passenger,Year Round,Knoydart Seabridge,F7-ADT-IVE,F7,ADT,IVE,Lifeline,KDS,http://www.knoydartferry.com/,Private,,4.66,0.5
F03601,Mallaig - Skye (Armadale),Mallaig - Skye,Vehicle,Year Round,CalMac Ferries,CM18-MLG-ARM,CM18,MLG,ARM,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,5.06,0.63
F03701,Mull (Sound of Ulva) - Ulva,Mull - Ulva,Passenger,Year Round,Ulva Ferry,ULV-ULV-UFU,ULV,ULV,UFU,Lifeline,ULV,http://www.isleofulva.com/visitor-information/,Private,,0.14,0.17
F03801,Nether Lochaber - Ardgour,Nether Lochaber - Ardgour,Vehicle,Year Round,Highland Council,F9-CRR-ARG,F9,CRR,ARG,Lifeline,THC,http://www.lochabertransport.org.uk/TransportinLochaber/PublicTransport/Ferries/CorranFerry.aspx,Local Authority,Highland Council,0.26,0.08
F03901,North Uist (Berneray) - Harris (Leverburgh),North Uist - Harris,Vehicle,Year Round,CalMac Ferries,CM23-BNY-LEV,CM23,BNY,LEV,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,9.58,1
F04001,Oban - Barra (Castlebay),Oban - Barra,Vehicle,Year Round,CalMac Ferries,CM20-OBA-CBA,CM20,OBA,CBA,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,87.72,4.75
F04101,Oban - Coll,Oban - Coll - Tiree,Vehicle,Year Round,CalMac Ferries,CM16-OBA-COL,CM16,OBA,COL,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,47.57,2.67
F04102,Coll - Tiree,Oban - Coll - Tiree,Vehicle,Year Round,CalMac Ferries,CM16-COL-TRE,CM16,COL,TRE,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,14.23,0.92
F04103,Tiree - Oban,Oban - Coll - Tiree,Vehicle,Year Round,CalMac Ferries,CM16-TRE-OBA,CM16,TRE,OBA,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,60.29,3.38
F04201,Oban - Colonsay,Oban - Colonsay - Islay,Vehicle,Year Round,CalMac Ferries,CM10-OBA-CSY,CM10,OBA,CSY,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,36.68,2.37
F04202,Colonsay - Islay (Port Askaig),Oban - Colonsay - Islay,Vehicle,Summer,CalMac Ferries,CM9-CSY-PAK,CM9,CSY,PAK,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,16.22,1.13
F04301,Oban (Gallanach) - Kerrera,Oban - Kerrera,Passenger,Year Round,CalMac Ferries,KER-OKF-KER,KER,OKF,KER,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,0.38,0.08
F04401,Oban - Lismore (Achnacroish),Oban - Lismore,Vehicle,Year Round,CalMac Ferries,CM15-OBA-LMR,CM15,OBA,LMR,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,7.25,0.92
F04501,Oban - Mull (Craignure),Oban - Mull,Vehicle,Year Round,CalMac Ferries,CM11-OBA-CNU,CM11,OBA,CNU,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,10.11,0.83
F04701,Renfrew - Yoker,Renfrew - Yoker,Passenger,Year Round,Clydelink,CLK-RFW-YOK,CLK,RFW,YOK,Lifeline,CLK,http://www.clydelink.co.uk/,Private,,0.17,0.08
F04801,Scalloway - Foula,Walls - Scalloway - Foula,Passenger,Summer,B K Marine,SF8-SCY-FOA,SF8,SCY,FOA,Lifeline,ATL,http://www.bkmarine.org/Timetable.htm,Local Authority,Shetland Islands Council,27.19,0
F04901,Scoraig - Badluarach,Scoraig - Badluarach,Passenger,Summer,Scoraig Ferry,SCR-SCG-BAD,SCR,SCG,BAD,Lifeline,SCR,,Private,,1.01,0.25
F05001,Scrabster - Stromness,Scrabster - Stromness,Vehicle,Year Round,Northlink Ferries,NL1-SCR-SNS,NL1,SCR,SNS,Lifeline,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,29.54,1.5
F05001A,Scrabster - Stromness,Scrabster - Stromness (Alternate Route),Vehicle,Year Round,Northlink Ferries,NL1-SCR-SNS,NL1,SCR,SNS,Alternate,NLK,http://www.northlinkferries.co.uk/timetables/,Scottish Government,Scottish Government,34.37,1.5
F05101,Seil (Cuan) - Luing (South Cuan),Siel - Luing,Vehicle,Year Round,Argyll & Bute Council,LUI-CUN-LUI,LUI,CUN,LUI,Lifeline,ABF,https://www.argyll-bute.gov.uk/isle-luing-isle-seil-ferry-timetable,Local Authority,Argyll & Bute Council,0.16,0.08
F05201,Glenelg - Skye (Kylerhea),Skye - Glenelg,Vehicle,Summer,Skye Ferry CIC,F01-GLE-KYL,F01,GLE,KYL,Lifeline,SFC,http://skyeferry.co.uk/,Mixed,,0.34,0.17
F05301,Skye (Uig) - Harris (Tarbert),Skye - Harris,Vehicle,Year Round,CalMac Ferries,CM22-UIG-TAB,CM22,UIG,TAB,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,27.94,1.67
F05401,Skye (Uig) - North Uist (Lochmaddy),Skye - North Uist,Vehicle,Year Round,CalMac Ferries,CM22-UIG-LMA,CM22,UIG,LMA,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,30.07,1.77
F05502,Skye (Sconser) - Raasay (Churchton Bay),Skye - Raasay,Vehicle,Year Round,CalMac Ferries,CM17-SCO-RAA,CM17,SCO,RAA,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,2.98,0.42
F05601,Stromness - Hoy (Moaness),Stromness - Hoy - Graemsay,Passenger,Year Round,Orkney Ferries,OF1-SNS-NHY,OF1,SNS,NHY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,4.17,0.47
F05602,Hoy (Moaness) - Graemsay,Stromness - Hoy - Graemsay,Passenger,Year Round,Orkney Ferries,OF1-NHY-GAE,OF1,NHY,GAE,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.74,0.25
F05603,Graemsay - Stromness,Stromness - Hoy - Graemsay,Passenger,Year Round,Orkney Ferries,OF1-GAE-SNS,OF1,GAE,SNS,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,2.79,0.25
F05701,Tarbert - Portavadie,Tarbert - Portavadie,Vehicle,Year Round,CalMac Ferries,CM2-LCT-PAV,CM2,LCT,PAV,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,3.42,0.42
F05801,Tarbert - Arran (Lochranza),Tarbert - Arran,Vehicle,Winter,CalMac Ferries,CM6-LCT-LCR,CM6,LCT,LCR,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,13.14,1.42
F05901,Tayinloan - Gigha,Tayinloan - Gigha,Vehicle,Year Round,CalMac Ferries,CM8-TYL-AMH,CM8,TYL,AMH,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,2.79,0.33
F06001,Tayvallich - Jura (Craighouse),Tayvallich - Jura,Passenger,Summer,Jura Development Trust,TAV-TAV-CJU,TAV,TAV,CJU,Lifeline,NMK,http://www.jurapassengerferry.com/,Mixed,,20.7,1
F06101,Tingwall - Rousay,Tingwall - Rousay - Egilsay - Wyre,Vehicle,Year Round,Orkney Ferries,OF3-TWL-ROU,OF3,TWL,ROU,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.52,0.45
F06102,Rousay - Egilsay,Tingwall - Rousay - Egilsay - Wyre,Vehicle,Year Round,Orkney Ferries,OF3-ROU-EGI,OF3,ROU,EGI,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,2.81,0.25
F06103,Rousay - Wyre,Tingwall - Rousay - Egilsay - Wyre,Vehicle,Year Round,Orkney Ferries,OF3-ROU-WYR,OF3,ROU,WYR,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,0.53,0.08
F06104,Egilsay - Wyre,Tingwall - Rousay - Egilsay - Wyre,Vehicle,Year Round,Orkney Ferries,OF3-EGI-WYR,OF3,EGI,WYR,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,2.61,0.25
F06201,Mull (Tobermory) - Ardnamurchan (Kilchoan),Tobermory - Kilchoan,Vehicle,Year Round,CalMac Ferries,CM14-TOB-KLB,CM14,TOB,KLB,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,5.21,0.58
F06301,Toft - Yell (Ulsta),Toft - Yell,Vehicle,Year Round,Shetland Council,SF1-TOF-ULS,SF1,TOF,ULS,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,2.79,0.33
F06401,Ullapool - Lewis (Stornoway),Ullapool - Lewis,Vehicle,Year Round,CalMac Ferries,CM25-ULL-STO,CM25,ULL,STO,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,51.06,2.5
F06701,Walls - Foula,Walls - Scalloway - Foula,Passenger,Year Round,B K Marine,SF8-WLS-FOA,SF8,WLS,FOA,Lifeline,ATL,http://www.bkmarine.org/Timetable.htm,Local Authority,Shetland Islands Council,18.55,2.25
F06801,Wemyss Bay - Bute (Rothesay),Bute - Gourock - Wemyss Bay,Vehicle,Year Round,CalMac Ferries,CM3-WMB-RAY,CM3,WMB,RAY,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,6.87,0.58
F06802,Bute (Rothesay) - Gourock,Bute - Gourock - Wemyss Bay,Vehicle,Winter,CalMac Ferries,CM3-RAY-GUR,CM3,RAY,GUR,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,13.75,0
F06901,West Burrafirth - Papa Stour,West Burrafirth - Papa Stour,Vehicle,Year Round,Shetland Council,SF6-WBU-PST,SF6,WBU,PST,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,5.42,0.67
F07001,Westray (Pierowall) - Papa Westray (Moclett),Westray - Papa Westray,Passenger,Year Round,Orkney Ferries,OF7-PWL-PWY,OF7,PWL,PWY,Lifeline,OKF,http://www.orkneyferries.co.uk/,Local Authority,Orkney Islands Council,3.3,0.42
F07101,Yell (Gutcher) - Unst (Belmont),Yell - Unst - Fetlar,Vehicle,Year Round,Shetland Council,SF2-GUT-BMT,SF2,GUT,BMT,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,1.24,0.17
F07102,Unst (Belmont) - Fetlar (Hamars Ness),Yell - Unst - Fetlar,Vehicle,Year Round,Shetland Council,SF2-BMT-ODD,SF2,BMT,ODD,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,4.26,0.43
